factor,view,genes,abs_mean_weight
F1,RNA_pos,RARRES1;DNMT1;ZP3;EIF4G2;ZP4;ACTB;TSPAN3;HIF1A;PKM;ARRDC4;SERPINE2;ASTN1;DPPA5;ATXN2;NAT10;MCUB;ANXA5;VIM;HSPA5;UHRF2;SQSTM1;ANXA2;GSTA4;CTSB;RPIA;AKIRIN2;CALU;MMADHC;EGR1;CBLL1,0.6618477306228627
F5,RNA_pos,NR6A1;GRWD1;TUFT1;HAUS1;CDK7;TTK;PDE6C;GSTM3;HSPA4;GNPTAB;SNRK;MMS22L;SNX25;MED14;CCDC150;TFIP11;FKBP9;UBASH3B;CBLB;RBBP5;PEX1;PLEKHB2;CHTOP;MRPS10;URM1;BTBD3;RCAN1;ORC2;ABCD3;GTF2B,0.6724111993573766
F5,RNA_neg,PCMT1;SRP54;CHD6;ARPC1B;KLHDC2;PREPL;DNMT1;TIMP1;MIA3;FBXL5;MED28;LINS1;RHPN2;DNAJB1;FBXO9;SEC61A1;NKAP;NFKBIA;CTBS;GLRX3;ATP6AP2;FLOT1;BMP15;HSPA4L;ADPGK;PUS3;IDE;TBRG4;ETF1;PSPH,0.8710480567032729
F5,METH_pos,KIF16B;GRHPR;NSDHL;AGTRAP;DDOST;DHX40;MESD;BPNT1;CERS4;MRM3;TTC17;COMMD4;TLN2;GNAI1;BNIP3;NUF2;P3H1;SCAMP4;HMGN3;NDUFAF1;NUBP2;SCG5;BCKDK;SUMF1;URM1;SERINC5;TPM1;OGT;NEK9;AAGAB,0.919215216466777
F5,METH_neg,FABP5;CXCL14;LGALS3;HBEGF;FTL;BMPER;APOE;USP44;BOD1L1;FBXL20;SMPDL3A;MCM2;LIPA;NEK6;DNMT1;ZBTB11;LGMN;MYSM1;DCAF1;RGL1;ARID4A;ME2;MYO6;SCYL2;ARL4D;SLAIN2;STX17;PAIP1;CEP152;SAT1,0.9561815255751168
F6,RNA_pos,GMPR2;IMP4;VPS26A;GEMIN6;HBS1L;ZC3HC1;SPTLC1;FARSA;SNRNP40;NECAP2;SLC25A1;PDZD11;GLRX5;PIH1D1;GNPDA2;EFTUD2;AAR2;CDK10;CNPY3;FLOT1;SLC35F5;ARFGAP2;TCN2;BLOC1S2;GBE1;AEN;ACAA1;SLC30A7;ACAT1;ADM,1.319296697816058
F6,RNA_neg,SMPDL3A;TJP2;MINPP1;TRAPPC6B;DHX8;VPS39;ZDHHC5;FBXO34;BLZF1;OSBPL6;CEP78;TPMT;SUCO;CEP85L;HAPLN1;IPPK;LRRFIP2;CSRNP1;COQ10B;TTC17;CHST10;NEU1;PRPF3;AHI1;EDC3;RCBTB1;GTF2H3;NPEPPS;OSBPL1A;RCC1,1.1812566868324121
F6,METH_pos,FYTTD1;TBC1D15;STX12;SYCN;OSTF1;TIMM22;INTS14;PIGC;WDR91;ZCCHC7;CAT;CROT;MAGT1;NUF2;NECAP2;RPN1;PPAT;UBA5;SLC35A1;PIGT;NGLY1;NEK2;MFGE8;RPGR;PLOD2;UTP4;NDUFA10;NXT2;MORF4L2;MYNN,1.2749180116108436
F6,METH_neg,ENC1;CRABP2;CNOT8;ACOT7;CUTC;MLST8;ZNF622;ANXA6;RAD1;GAPVD1;FASN;AP1G2;INTS2;GSS;CPT1A;INTS8;BLOC1S2;STAM2;NPEPPS;ITPK1;PCID2;TMEM168;TLK2;TRAPPC2L;UCP2;SMU1;SLC10A3;GOLT1B;BAMBI;KDM5A,1.0510504885747112
F7,RNA_pos,CERS4;FKBP10;GJC1;ACSF2;PKP2;AGTRAP;LRPAP1;GMPR2;BAZ2B;BTG3;SERPING1;RIPOR1;ATXN2;ZP4;SUCLG2;DNMT1;TACC3;COMMD4;SEC23B;GDPD5;GNPDA2;GSTM3;RPN2;DET1;LEPROT;AKAP8L;ACOT9;WDR74;PSMD3;LTN1,0.3979048230520178
F7,RNA_neg,CCDC90B;DOCK7;EIPR1;USP11;CD47;SELENOS;ERC2;CKAP2L;FKBP15;TBPL1;MKNK1;DNAJC9;IFIT5;NPAT;TTK;CEP63;TSGA10;ESYT1;SPC25;SPATS2L;FBXO4;COPA;ANGEL2;ABRAXAS2;PGM3;STARD7;GPD2;REPS2;MYSM1;CEP78,0.46591380215744743
F7,METH_pos,ZP3;GDF9;ZP4;ZP2;DND1;JPH1;ADAD1;PODXL;FOXR1;PIK3R4;EDEM2;TDRD10;PPCDC;PDE6C;SFR1;SPINT1;SNX7;BMP15;ZKSCAN1;SPPL2B;METTL6;TMX2;UCHL1;MTM1;HYAL2;DMD;HAUS1;TLR7;FUCA1;APBB2,1.344936936439049
F7,METH_neg,EEF1G;ITM2B;ALDH2;RHOA;SLC25A3;ARFGAP3;DNAJC10;UQCRC1;MRPL3;CSDE1;CCNG1;CSNK2A1;ELL2;MORF4L2;PCMTD1;SQSTM1;SRI;SLC38A2;SGTA;ACTR2;RBMX;NAGK;STRAP;SDF4;COPA;PGAM1;NECAP2;PTGES;DNAJB1;SUDS3,1.4099698507314866
