gene_id,gene_name,mean_promoter_ncpg,samples_with_data
ENSSSCG00000000202,MCRS1,39.52272727272727,44
ENSSSCG00000000203,KCNH3,185.5,44
ENSSSCG00000000204,PRPF40B,83.36363636363636,44
ENSSSCG00000000205,FAM186B,38.06818181818182,44
ENSSSCG00000000206,FAIM2,89.22727272727273,44
ENSSSCG00000000207,ENSSSCG00000000207,20.772727272727273,41
ENSSSCG00000000209,NCKAP5L,101.8409090909091,44
ENSSSCG00000000211,AQP5,87.86363636363636,44
ENSSSCG00000000212,AQP6,34.34090909090909,44
ENSSSCG00000000214,GPD1,47.11363636363637,44
ENSSSCG00000000215,SMARCD1,29.977272727272727,42
ENSSSCG00000000216,ASIC1,126.20454545454545,44
ENSSSCG00000000217,RACGAP1,32.18181818181818,44
ENSSSCG00000000220,POU6F1,73.02272727272727,44
ENSSSCG00000000223,BIN2,57.34090909090909,44
ENSSSCG00000000228,SCN8A,146.72727272727272,44
ENSSSCG00000000231,ENSSSCG00000000231,41.06818181818182,44
ENSSSCG00000000232,ACVRL1,89.68181818181819,44
ENSSSCG00000000233,ACVR1B,103.0,44
ENSSSCG00000000234,TAMALIN,49.54545454545455,44
ENSSSCG00000000235,KRT82,67.13636363636364,44
ENSSSCG00000000236,KRT75,94.13636363636364,44
ENSSSCG00000000238,ENSSSCG00000000238,69.8409090909091,44
ENSSSCG00000000239,ENSSSCG00000000239,119.02272727272727,44
ENSSSCG00000000240,KRT85,61.29545454545455,44
ENSSSCG00000000241,KRT84,51.31818181818182,44
ENSSSCG00000000247,KRT71,38.34090909090909,42
ENSSSCG00000000248,ENSSSCG00000000248,70.63636363636364,44
ENSSSCG00000000249,KRT72,92.54545454545455,44
ENSSSCG00000000250,KRT73,46.93181818181818,44
ENSSSCG00000000251,KRT1,60.36363636363637,44
ENSSSCG00000000252,KRT8,131.4318181818182,44
ENSSSCG00000000253,KRT18,7.840909090909091,38
ENSSSCG00000000257,ITGB7,74.11363636363636,44
ENSSSCG00000000258,RARG,162.3409090909091,44
ENSSSCG00000000259,CSAD,42.36363636363637,44
ENSSSCG00000000260,SOAT2,41.0,43
ENSSSCG00000000261,IGFBP6,51.09090909090909,44
ENSSSCG00000000262,SPRYD3,177.88636363636363,44
ENSSSCG00000000263,TNS2,47.0,44
ENSSSCG00000000264,MFSD5,73.86363636363636,44
ENSSSCG00000000265,ESPL1,57.65909090909091,44
ENSSSCG00000000267,PFDN5,83.5,44
ENSSSCG00000000268,AAAS,117.13636363636364,44
ENSSSCG00000000271,AMHR2,25.5,42
ENSSSCG00000000272,SP1,75.18181818181819,44
ENSSSCG00000000273,PRR13,31.295454545454547,44
ENSSSCG00000000274,PCBP2,44.34090909090909,43
ENSSSCG00000000275,MAP3K12,16.34090909090909,43
ENSSSCG00000000276,TARBP2,133.22727272727272,44
ENSSSCG00000000277,NPFF,47.61363636363637,44
ENSSSCG00000000278,ATF7,72.68181818181819,44
ENSSSCG00000000279,HOXC13,60.38636363636363,44
ENSSSCG00000000281,HOXC12,86.02272727272727,44
ENSSSCG00000000288,HNRNPA1,109.04545454545455,44
ENSSSCG00000000289,NFE2,73.06818181818181,44
ENSSSCG00000000290,COPZ1,41.95454545454545,44
ENSSSCG00000000291,GPR84,67.88636363636364,44
ENSSSCG00000000292,ZNF385A,124.04545454545455,44
ENSSSCG00000000293,ITGA5,159.63636363636363,44
ENSSSCG00000000295,NCKAP1L,11.068181818181818,42
ENSSSCG00000000296,ENSSSCG00000000296,6.363636363636363,32
ENSSSCG00000000297,PDE1B,95.3409090909091,44
ENSSSCG00000000298,PPP1R1A,185.38636363636363,44
ENSSSCG00000000299,TESPA1,30.227272727272727,44
ENSSSCG00000000333,ENSSSCG00000000333,2.6363636363636362,30
ENSSSCG00000000352,ENSSSCG00000000352,3.2954545454545454,25
ENSSSCG00000000353,ENSSSCG00000000353,1.9545454545454546,36
ENSSSCG00000000359,BLOC1S1,14.386363636363637,40
ENSSSCG00000000361,CD63,217.5909090909091,44
ENSSSCG00000000362,RDH5,50.79545454545455,43
ENSSSCG00000000363,GDF11,50.13636363636363,44
ENSSSCG00000000364,SARNP,0.6590909090909091,25
ENSSSCG00000000365,ORMDL2,72.56818181818181,44
ENSSSCG00000000366,DNAJC14,30.318181818181817,44
ENSSSCG00000000367,ENSSSCG00000000367,121.97727272727273,44
ENSSSCG00000000368,MMP19,64.68181818181819,43
ENSSSCG00000000370,DGKA,26.181818181818183,43
ENSSSCG00000000371,PMEL,12.954545454545455,40
ENSSSCG00000000376,SUOX,53.72727272727273,44
ENSSSCG00000000377,ENSSSCG00000000377,58.86363636363637,44
ENSSSCG00000000379,ESYT1,10.772727272727273,40
ENSSSCG00000000382,SMARCC2,237.61363636363637,44
ENSSSCG00000000383,RNF41,5.0,37
ENSSSCG00000000384,NABP2,69.18181818181819,44
ENSSSCG00000000385,SLC39A5,40.93181818181818,44
ENSSSCG00000000386,ANKRD52,190.77272727272728,44
ENSSSCG00000000393,PAN2,116.68181818181819,44
ENSSSCG00000000394,CNPY2,104.81818181818181,44
ENSSSCG00000000396,STAT2,53.86363636363637,42
ENSSSCG00000000398,APOF,9.204545454545455,41
ENSSSCG00000000399,TIMELESS,71.9090909090909,44
ENSSSCG00000000400,MIP,58.0,43
ENSSSCG00000000401,GLS2,97.77272727272727,44
ENSSSCG00000000402,RBMS2,3.4318181818181817,31
ENSSSCG00000000403,BAZ2A,117.88636363636364,44
ENSSSCG00000000411,NAB2,169.36363636363637,44
ENSSSCG00000000413,MYO1A,46.36363636363637,44
ENSSSCG00000000415,SDR9C7,47.65909090909091,42
ENSSSCG00000000419,ENSSSCG00000000419,142.9318181818182,44
ENSSSCG00000000431,MBD6,86.97727272727273,43
ENSSSCG00000000433,B4GALNT1,189.86363636363637,44
ENSSSCG00000000435,ARHGEF25,50.43181818181818,44
ENSSSCG00000000436,PIP4K2C,48.88636363636363,44
ENSSSCG00000000437,ARHGAP9,107.88636363636364,44
ENSSSCG00000000439,KIF5A,33.84090909090909,44
ENSSSCG00000000442,INHBE,42.84090909090909,43
ENSSSCG00000000443,GLI1,90.97727272727273,44
ENSSSCG00000000444,DCTN2,84.56818181818181,44
ENSSSCG00000000449,DTX3,12.181818181818182,42
ENSSSCG00000000453,ATP23,57.77272727272727,44
ENSSSCG00000000456,SLC16A7,57.27272727272727,44
ENSSSCG00000000457,USP15,30.795454545454547,38
ENSSSCG00000000458,MON2,70.63636363636364,44
ENSSSCG00000000464,C12orf56,152.38636363636363,44
ENSSSCG00000000466,XPOT,55.97727272727273,44
ENSSSCG00000000469,LEMD3,38.31818181818182,44
ENSSSCG00000000473,TMBIM4,95.61363636363636,44
ENSSSCG00000000475,IRAK3,56.79545454545455,44
ENSSSCG00000000477,HELB,62.68181818181818,44
ENSSSCG00000000478,GRIP1,37.54545454545455,43
ENSSSCG00000000482,IL22,34.40909090909091,44
ENSSSCG00000000483,MDM1,98.18181818181819,44
ENSSSCG00000000486,NUP107,40.65909090909091,44
ENSSSCG00000000487,SLC35E3,44.84090909090909,42
ENSSSCG00000000488,MDM2,52.79545454545455,43
ENSSSCG00000000492,LYZ,24.75,42
ENSSSCG00000000493,FRS2,59.52272727272727,43
ENSSSCG00000000496,CCT2,81.5909090909091,44
ENSSSCG00000000499,BEST3,34.25,43
ENSSSCG00000000500,RAB3IP,70.97727272727273,44
ENSSSCG00000000502,CNOT2,32.15909090909091,44
ENSSSCG00000000504,PTPRB,17.5,43
ENSSSCG00000000510,TMEM19,78.0909090909091,44
ENSSSCG00000000512,TBC1D15,57.02272727272727,44
ENSSSCG00000000515,TRHDE,94.52272727272727,44
ENSSSCG00000000516,KCNC2,143.04545454545453,44
ENSSSCG00000000517,CAPS2,30.84090909090909,44
ENSSSCG00000000519,GLIPR1,5.431818181818182,39
ENSSSCG00000000522,NAP1L1,155.0,44
ENSSSCG00000000523,BBS10,75.11363636363636,44
ENSSSCG00000000527,SYT10,22.772727272727273,42
ENSSSCG00000000528,PKP2,97.52272727272727,44
ENSSSCG00000000530,FGD4,172.4090909090909,44
ENSSSCG00000000531,BICD1,127.0909090909091,44
ENSSSCG00000000534,IPO8,20.272727272727273,41
ENSSSCG00000000536,ERGIC2,5.363636363636363,34
ENSSSCG00000000540,ENSSSCG00000000540,41.34090909090909,43
