test,species,rho,p_value,n_genes
F1_observed,human,0.49458128078817726,0.006384567892651848,29
F1_observed,mouse,0.4669230769230769,0.01861703233331254,25
genome_wide,human,0.501313320825516,0.0009835194302539327,40
genome_wide,mouse,0.36293436293436293,0.029589503999162884,36
random_perm,human,0.49507044334975364,0.4745,29
random_perm,mouse,0.357580923076923,0.1162,25
expr_matched,human,0.3885132274153958,0.1738,29
expr_matched,mouse,0.3329609688380673,0.122,25
