gene,mean_abs_shap
ATP2C1,0.0
ATP2B1,0.0
ATP23,0.0
ATP1B1,0.0
ATP13A3,0.0
ATP11C,0.0
ATP10D,0.0
ATM,0.0
ATRN,0.0
ATR,0.0
ATP8A1,0.0
ATP6V1H,0.0
ATP6V1C2,0.0
APLF,0.0
APIP,0.0
API5,0.0
APEH,0.0
APBB3,0.0
APAF1,0.0
AP5M1,0.0
AP3S2,0.0
AP3M1,0.0
AP3B1,0.0
BAIAP2L1,0.0
BAG3,0.0
BAD,0.0
BACH1,0.0
B4GALT5,0.0
B3GNT4,0.0
B3GNT3,0.0
B3GALNT1,0.0
B2M,0.0
AZIN1,0.0
AZI2,0.0
AVL9,0.0
AURKB,0.0
AUP1,0.0
AUH,0.0
ATXN2,0.0
BDH2,0.0
BCKDK,0.0
BCKDHB,0.0
BCAT2,0.0
BCAT1,0.0
BCAS4,0.0
BCAS3,0.0
BCAP31,0.0
BCAP29,0.0
BBX,0.0
BBS7,0.0
BAZ2B,0.0
BAZ1B,0.0
BAZ1A,0.0
BARD1,0.0
BAMBI,0.0
BPNT1,0.0
BORA,0.0
BOLA1,0.0
BNIP3L,0.0
BNIP3,0.0
BMPR2,0.0
BMP4,0.0
BMP15,0.0
BLZF1,0.0
BLVRB,0.0
BLOC1S2,0.0
BIRC6,0.0
BID,0.0
BICC1,0.0
BEX3,0.0
BECN1,0.0
BUD23,0.0
BUD13,0.0
BUB3,0.0
BUB1B,0.0
BUB1,0.0
BTRC,0.0
BTG4,0.0
BTG3,0.0
BTBD7,0.0
BTBD3,0.0
BTAF1,0.0
BRMS1L,0.0
BRIX1,0.0
BRDT,0.0
BRD8,0.0
BRCA1,0.0
CAPZA1,0.0
CAPRIN2,0.0
CAPRIN1,0.0
CAPG,0.0
CAND1,0.0
CAMK2D,0.0
CALU,0.0
CALD1,0.0
CALCOCO2,0.0
CACHD1,0.0
CAB39L,0.0
CAB39,0.0
CA2,0.0
C9orf72,0.0
C1GALT1C1,0.0
CCDC15,0.0
CBX2,0.0
CBR4,0.0
CBLL1,0.0
CBLB,0.0
CBL,0.0
CBFA2T2,0.0
CAT,0.0
CAST,0.0
CASP8AP2,0.0
CASD1,0.0
CASC3,0.0
CARNMT1,0.0
CARMIL1,0.0
CARD19,0.0
CCDC88A,0.0
CCDC86,0.0
CCDC85A,0.0
CCDC81,0.0
CCDC73,0.0
CCDC68,0.0
CCDC66,0.0
CCDC6,0.0
CCDC51,0.0
CCDC47,0.0
CCDC38,0.0
CCDC28A,0.0
CCDC186,0.0
CCDC181,0.0
CCDC18,0.0
CCDC150,0.0
CD9,0.0
CD47,0.0
CD151,0.0
CCT7,0.0
CCT4,0.0
CCSER2,0.0
CCSER1,0.0
CCP110,0.0
CCNK,0.0
CCNJ,0.0
CCNG1,0.0
CCNB3,0.0
CCNB2,0.0
CCNB1IP1,0.0
CCNB1,0.0
CCDC93,0.0
CDCP1,0.0
CDCA7L,0.0
CDCA7,0.0
CDCA2,0.0
CDC7,0.0
CDC45,0.0
CDC42EP1,0.0
CDC42BPA,0.0
CDC40,0.0
CDC37L1,0.0
CDC27,0.0
CDC20,0.0
CDC123,0.0
CDA,0.0
CENPT,0.0
CENPQ,0.0
CENPI,0.0
CENPC,0.0
CECR2,0.0
CEBPG,0.0
CDX4,0.0
CDV3,0.0
CDS2,0.0
CDKN3,0.0
CDKN2AIP,0.0
CDKL5,0.0
CDKAL1,0.0
CDK5,0.0
CDK10,0.0
CERS4,0.0
CEPT1,0.0
CEP89,0.0
CEP85L,0.0
CEP83,0.0
CEP78,0.0
CEP63,0.0
CEP55,0.0
CEP290,0.0
CEP170,0.0
CEP164,0.0
CEP162,0.0
CEP152,0.0
CEP128,0.0
CEP120,0.0
CENPU,0.0
