gene,mean_abs_shap
MTIF2,0.0
MTHFD2,0.0
MTHFD1L,0.0
NAA35,0.0
NAA20,0.0
NAA15,0.0
N4BP2,0.0
MYOF,0.0
MYO6,0.0
MYO5C,0.0
MYO1E,0.0
MYO1C,0.0
MYO1B,0.0
MYO10,0.0
MYNN,0.0
MYEF2,0.0
MYCN,0.0
MYCBP2,0.0
MYC,0.0
NCAPH,0.0
NCAPG,0.0
NBR1,0.0
NAXD,0.0
NAV2,0.0
NAT9,0.0
NAT10,0.0
NARS2,0.0
NAMPT,0.0
NAGK,0.0
NAF1,0.0
NABP1,0.0
NAB1,0.0
NAALAD2,0.0
NAAA,0.0
NAA50,0.0
NDN,0.0
NDFIP2,0.0
NDEL1,0.0
NDC80,0.0
NDC1,0.0
NCSTN,0.0
NCOR1,0.0
NCOA7,0.0
NCOA6,0.0
NCOA5,0.0
NCOA3,0.0
NCOA1,0.0
NCLN,0.0
NCKAP1,0.0
NCK1,0.0
NCBP1,0.0
NEK2,0.0
NEK1,0.0
NEIL3,0.0
NEDD4L,0.0
NEDD1,0.0
NECTIN3,0.0
NECTIN2,0.0
NDUFV1,0.0
NDUFS2,0.0
NDUFS1,0.0
NDUFAF7,0.0
NDUFAF6,0.0
NDUFAF5,0.0
NDUFAF4,0.0
NDUFAF1,0.0
NDUFA10,0.0
NGLY1,0.0
NFYB,0.0
NFXL1,0.0
NFKBIA,0.0
NFKB2,0.0
NFIL3,0.0
NFE2L3,0.0
NFE2L2,0.0
NF1,0.0
NEU1,0.0
NEPRO,0.0
NELL2,0.0
NELFE,0.0
NEK9,0.0
NEK6,0.0
NEK4,0.0
NOC3L,0.0
NOC2L,0.0
NOB1,0.0
NNT,0.0
NNAT,0.0
NMRAL1,0.0
NMNAT1,0.0
NME7,0.0
NMD3,0.0
NLRP9,0.0
NKTR,0.0
NKIRAS1,0.0
NKAP,0.0
NIN,0.0
NID1,0.0
NHEJ1,0.0
NSD3,0.0
NSD1,0.0
NRBF2,0.0
NR6A1,0.0
NR2C1,0.0
NQO1,0.0
NPTN,0.0
NPRL3,0.0
NPM2,0.0
NPEPPS,0.0
NPC2,0.0
NPC1,0.0
NPAT,0.0
NOP9,0.0
NOP2,0.0
NOC4L,0.0
NUP153,0.0
NUP133,0.0
NUP107,0.0
NUMB,0.0
NUF2,0.0
NUCB1,0.0
NUBP2,0.0
NUB1,0.0
NT5DC2,0.0
NT5DC1,0.0
NSUN7,0.0
NSUN3,0.0
NSMAF,0.0
NSL1,0.0
NSF,0.0
NSDHL,0.0
OPTN,0.0
OPA1,0.0
OOEP,0.0
ONECUT2,0.0
OMA1,0.0
OGT,0.0
OGFOD2,0.0
OGDH,0.0
OCLN,0.0
OAZ2,0.0
NXT2,0.0
NUS1,0.0
AAAS,0.0
NUP43,0.0
NUP214,0.0
NUP155,0.0
OTUD6B,0.0
OSTM1,0.0
OSTF1,0.0
OSGIN2,0.0
OSGEPL1,0.0
OSGEP,0.0
OSBPL9,0.0
OSBPL8,0.0
OSBPL7,0.0
OSBPL6,0.0
OSBPL1A,0.0
ORC5,0.0
ORC4,0.0
ORC3,0.0
ORC2,0.0
ORC1,0.0
PAIP1,0.0
PAFAH1B3,0.0
PAFAH1B2,0.0
PAFAH1B1,0.0
PAF1,0.0
PADI6,0.0
PACSIN2,0.0
PAAF1,0.0
P4HA2,0.0
P4HA1,0.0
P3H1,0.0
P2RY11,0.0
OXR1,0.0
OXNAD1,0.0
OXCT1,0.0
OTUD7B,0.0
PAXBP1,0.0
PAX6,0.0
PATL1,0.0
PARPBP,0.0
PARP2,0.0
PARP12,0.0
PARD6B,0.0
PARD3B,0.0
PARD3,0.0
PAQR8,0.0
PAPOLG,0.0
PANK3,0.0
PAN3,0.0
PAN2,0.0
PALB2,0.0
PAIP2,0.0
PDE6D,0.0
PDE6C,0.0
PDE5A,0.0
PDE12,0.0
PDCD4,0.0
PDCD10,0.0
PCOLCE2,0.0
PCMT1,0.0
PCLAF,0.0
PCID2,0.0
PCF11,0.0
PCCB,0.0
PCBD1,0.0
PBXIP1,0.0
PBK,0.0
PBDC1,0.0
ACTR6,0.0
ACTR3,0.0
ACTR2,0.0
ACTR1A,0.0
PDZD9,0.0
PDZD11,0.0
PDRG1,0.0
PDLIM5,0.0
PDLIM1,0.0
PDK3,0.0
PDIA5,0.0
PDIA3,0.0
PDHX,0.0
PDHB,0.0
PDGFRA,0.0
PDGFA,0.0
PEX1,0.0
PELO,0.0
PELI1,0.0
PECR,0.0
PECAM1,0.0
ADIPOR2,0.0
ADH5,0.0
AAR2,0.0
ADGRA3,0.0
ADD3,0.0
ADCY3,0.0
ADAMTS1,0.0
ADAM10,0.0
ADAD1,0.0
ACYP2,0.0
ACTR8,0.0
PHF11,0.0
PHF1,0.0
PHC3,0.0
PHC1,0.0
PHACTR4,0.0
PHACTR2,0.0
PGRMC2,0.0
PGRMC1,0.0
PGM5,0.0
PGM3,0.0
PGM2,0.0
PGK1,0.0
PGAM1,0.0
PFKL,0.0
PEX5L,0.0
PEX3,0.0
PIGP,0.0
PIGC,0.0
PIGA,0.0
PIAS4,0.0
PIAS1,0.0
PI4KB,0.0
PHTF2,0.0
PHOSPHO2,0.0
PHKG2,0.0
PHIP,0.0
PHGDH,0.0
PHF20L1,0.0
PHF20,0.0
PHF14,0.0
PHF13,0.0
PHF12,0.0
PKIG,0.0
PKIA,0.0
PJA1,0.0
PITHD1,0.0
PIP5K1A,0.0
PIP4K2C,0.0
PIP4K2A,0.0
PIMREG,0.0
PIK3R4,0.0
PIK3R1,0.0
PIK3C3,0.0
PIK3C2A,0.0
PIH1D1,0.0
PIGX,0.0
PIGU,0.0
PIGT,0.0
PLPP5,0.0
PLP2,0.0
PLOD2,0.0
PLOD1,0.0
PLLP,0.0
PLGRKT,0.0
PLEKHG3,0.0
PLEKHB2,0.0
PLEKHA5,0.0
PLEKHA1,0.0
PLEK2,0.0
PLAA,0.0
PLA2G4A,0.0
PKP4,0.0
PKP2,0.0
PKM,0.0
POLR1E,0.0
POLR1C,0.0
POLR1B,0.0
POLE3,0.0
POLDIP2,0.0
POLD3,0.0
POLD1,0.0
POGK,0.0
POFUT1,0.0
PODXL,0.0
POC5,0.0
PNPLA8,0.0
PNP,0.0
PMS1,0.0
PMM1,0.0
PLS3,0.0
PPM1B,0.0
PPIP5K2,0.0
PPIL4,0.0
PPIL3,0.0
PPIL2,0.0
PPIF,0.0
PPID,0.0
PPHLN1,0.0
PPFIBP1,0.0
PPCDC,0.0
PPAT,0.0
PP2D1,0.0
POU2F1,0.0
PORCN,0.0
POLR3A,0.0
POLR2B,0.0
PRCP,0.0
PPRC1,0.0
PPP6C,0.0
PPP5C,0.0
PPP4R4,0.0
PPP4R3B,0.0
PPP4R3A,0.0
PPP2R5A,0.0
PPP2R1B,0.0
PPP2CB,0.0
PPP1R15B,0.0
PPP1R15A,0.0
PPP1CB,0.0
PPP1CA,0.0
PPME1,0.0
PPM1D,0.0
PRPF39,0.0
PRPF3,0.0
PRKD3,0.0
PRKCI,0.0
PRKAR2A,0.0
PRKAR1A,0.0
PRKAB1,0.0
PRKAA1,0.0
PRIM2,0.0
PRIM1,0.0
PREPL,0.0
PREP,0.0
PRDX6,0.0
PRDX3,0.0
PRDM5,0.0
PRDM4,0.0
PSMD3,0.0
PSMD14,0.0
PSMD13,0.0
PSMD12,0.0
PSMC6,0.0
PSMC2,0.0
PSEN1,0.0
PSAT1,0.0
PSAP,0.0
PRUNE1,0.0
PRTFDC1,0.0
PRSS12,0.0
PRR14L,0.0
PRPSAP1,0.0
PRPF8,0.0
PRPF4,0.0
PTRH2,0.0
PTPRK,0.0
PTPRJ,0.0
PTPN13,0.0
PTPMT1,0.0
PTP4A1,0.0
PTN,0.0
PTGR1,0.0
PTGIS,0.0
PTGES3,0.0
PTGES,0.0
PTCD3,0.0
PTBP3,0.0
PTBP2,0.0
PSPH,0.0
PSME4,0.0
RAB24,0.0
RAB22A,0.0
RAB13,0.0
RAB11FIP4,0.0
RAB10,0.0
QTRT2,0.0
QTRT1,0.0
QSER1,0.0
QRSL1,0.0
PXK,0.0
PXDN,0.0
PUSL1,0.0
PUS7L,0.0
PUS3,0.0
PUS1,0.0
PUM1,0.0
RAE1,0.0
RAD54L,0.0
RAD51AP1,0.0
RAD51,0.0
RAD17,0.0
RAD1,0.0
RACGAP1,0.0
RABGAP1L,0.0
RABGAP1,0.0
RABEPK,0.0
RABEP1,0.0
RAB8B,0.0
RAB3GAP1,0.0
RAB34,0.0
RAB2B,0.0
RAB27A,0.0
RBBP9,0.0
RBBP5,0.0
RASSF8,0.0
RASSF1,0.0
RASA1,0.0
RARS2,0.0
RARRES1,0.0
RAPGEF2,0.0
RAP2C,0.0
RAP1GDS1,0.0
RAP1A,0.0
RANBP9,0.0
RANBP17,0.0
RALGPS2,0.0
RALGAPB,0.0
RALB,0.0
RCBTB1,0.0
RCAN1,0.0
RBPMS2,0.0
RBPMS,0.0
RBPJ,0.0
RBP2,0.0
RBMX,0.0
RBMS1,0.0
RBM5,0.0
RBM48,0.0
RBM47,0.0
RBM41,0.0
RBM26,0.0
RBM19,0.0
RBM18,0.0
RBFOX2,0.0
RFC5,0.0
REV1,0.0
REPS2,0.0
REPS1,0.0
RENBP,0.0
REEP5,0.0
REEP4,0.0
RECQL,0.0
RCN3,0.0
RCN2,0.0
RCN1,0.0
RCL1,0.0
RCHY1,0.0
RCE1,0.0
RCC1,0.0
RCBTB2,0.0
RINT1,0.0
RIMKLB,0.0
RIF1,0.0
RIBC1,0.0
RHPN2,0.0
RHOV,0.0
RHOT1,0.0
RHOF,0.0
RHOD,0.0
RHOA,0.0
RHNO1,0.0
RHEBL1,0.0
RHBDD1,0.0
RGL1,0.0
RFWD3,0.0
RFESD,0.0
RORB,0.0
RNF8,0.0
RNF38,0.0
RNF26,0.0
RNF2,0.0
RNF19A,0.0
RNF181,0.0
RNF17,0.0
RNF167,0.0
RNF146,0.0
ABCB6,0.0
RNF138,0.0
RNF111,0.0
RMND5B,0.0
RLF,0.0
RIPOR1,0.0
RPUSD3,0.0
RPS6KC1,0.0
RPS6KB1,0.0
RPRD1B,0.0
RPRD1A,0.0
RPP40,0.0
RPP38,0.0
RPP30,0.0
RPP25L,0.0
RPN2,0.0
RPN1,0.0
RPIA,0.0
RPGR,0.0
RPAP2,0.0
RPA2,0.0
RPA1,0.0
SAP130,0.0
SALL2,0.0
SAE1,0.0
S100PBP,0.0
S100A14,0.0
S100A10,0.0
RYK,0.0
RUVBL2,0.0
RUNX1T1,0.0
RTCB,0.0
RTCA,0.0
RSPRY1,0.0
RSPO3,0.0
RSF1,0.0
RRP12,0.0
RRAGD,0.0
SCG5,0.0
SCFD1,0.0
SCD,0.0
SCARB2,0.0
SCAPER,0.0
SCAP,0.0
SCAMP4,0.0
SCAMP3,0.0
SCAMP2,0.0
SCAF8,0.0
SC5D,0.0
SBNO1,0.0
SBDS,0.0
SAT2,0.0
SAT1,0.0
SAR1B,0.0
SEC24A,0.0
SEC23IP,0.0
SEC23B,0.0
SEC22B,0.0
SEC22A,0.0
SDF4,0.0
SDE2,0.0
SDCBP2,0.0
SDCBP,0.0
SDC2,0.0
SCYL3,0.0
SCYL2,0.0
SCTR,0.0
SCML2,0.0
SCLT1,0.0
SCIN,0.0
SERPING1,0.0
SERPINE2,0.0
SERINC5,0.0
SERINC1,0.0
SENP6,0.0
SENP5,0.0
SENP2,0.0
SELENOS,0.0
SECISBP2L,0.0
SECISBP2,0.0
SEC61A2,0.0
SEC61A1,0.0
SEC31A,0.0
SEC24D,0.0
SEC24C,0.0
SEC24B,0.0
SGO2,0.0
SGO1,0.0
SGK1,0.0
SFXN1,0.0
SFT2D1,0.0
SFSWAP,0.0
SFRP1,0.0
SFR1,0.0
SF3A3,0.0
SETX,0.0
SETD2,0.0
SESTD1,0.0
SESN2,0.0
SESN1,0.0
SERTAD3,0.0
SERTAD1,0.0
SIN3A,0.0
SIDT2,0.0
SHTN1,0.0
SHQ1,0.0
SHOC2,0.0
SHISA5,0.0
SHCBP1,0.0
SHC1,0.0
SH3PXD2A,0.0
SH3GLB1,0.0
SH3GL2,0.0
SH3BP5,0.0
SH3BGRL,0.0
SGTA,0.0
SGPP2,0.0
SGPL1,0.0
SLC23A2,0.0
SLC1A5,0.0
SLC1A3,0.0
SLC1A1,0.0
SLC19A2,0.0
SLC15A1,0.0
SLC13A4,0.0
SLC12A6,0.0
SLC12A2,0.0
SLC10A7,0.0
SLC10A3,0.0
SLAIN2,0.0
SKP2,0.0
SKIL,0.0
SIRT1,0.0
SIPA1L1,0.0
SLC2A8,0.0
SLC2A12,0.0
SLC29A1,0.0
SLC28A3,0.0
SLC26A6,0.0
SLC25A46,0.0
SLC25A4,0.0
SLC25A35,0.0
SLC25A32,0.0
SLC25A3,0.0
SLC25A26,0.0
SLC25A24,0.0
SLC25A20,0.0
SLC25A19,0.0
SLC25A17,0.0
SLC25A1,0.0
SLC3A1,0.0
SLC39A6,0.0
SLC39A4,0.0
SLC39A1,0.0
SLC38A9,0.0
SLC38A5,0.0
SLC38A2,0.0
SLC37A4,0.0
SLC35G1,0.0
SLC35F5,0.0
SLC35B2,0.0
SLC34A2,0.0
SLC33A1,0.0
SLC31A2,0.0
SLC30A7,0.0
SLC30A5,0.0
ACO2,0.0
SMAD4,0.0
SMAD2,0.0
SLU7,0.0
SLK,0.0
SLF1,0.0
SLC7A9,0.0
SLC7A3,0.0
SLC6A8,0.0
SLC6A20,0.0
SLC5A6,0.0
SLC4A7,0.0
SLC4A11,0.0
SLC43A2,0.0
SLC41A1,0.0
SLC3A2,0.0
SMIM14,0.0
SMG7,0.0
SMARCD1,0.0
SMARCA1,0.0
SMAD5,0.0
ACTR10,0.0
ACTC1,0.0
ACTA2,0.0
ACSS2,0.0
ACSL4,0.0
ACSL3,0.0
ACSL1,0.0
ACSBG1,0.0
ACP6,0.0
ACOX1,0.0
ACOT7,0.0
SORD,0.0
SOAT1,0.0
SNX9,0.0
SNX7,0.0
SNX3,0.0
SNX27,0.0
SNX25,0.0
SNX16,0.0
SNX14,0.0
SNX13,0.0
SNRNP40,0.0
SNRK,0.0
SNAPC2,0.0
SNAPC1,0.0
SMYD5,0.0
SMU1,0.0
SPTLC1,0.0
SPRYD7,0.0
SPRED2,0.0
SPPL2B,0.0
SPINT1,0.0
SPDL1,0.0
SPC25,0.0
SPATS2L,0.0
SPATA7,0.0
SPAST,0.0
SPART,0.0
SPARC,0.0
SPAG8,0.0
SPAG1,0.0
SP3,0.0
SORL1,0.0
SSX2IP,0.0
SSR2,0.0
SRSF1,0.0
SRRM4,0.0
SRPX,0.0
SRPK3,0.0
SRPK2,0.0
SRP72,0.0
SRP68,0.0
SRP54,0.0
SRI,0.0
SRGAP1,0.0
SQSTM1,0.0
SQLE,0.0
SPTY2D1,0.0
SPTLC2,0.0
STK39,0.0
STK38L,0.0
STK35,0.0
STIP1,0.0
STAU1,0.0
STAT3,0.0
STAT2,0.0
STARD7,0.0
STARD3NL,0.0
STARD3,0.0
STAMBP,0.0
STAM2,0.0
STAM,0.0
STAB1,0.0
ST6GALNAC4,0.0
ST14,0.0
SUCO,0.0
SUCLG2,0.0
SUCLG1,0.0
SUCLA2,0.0
STX7,0.0
STX6,0.0
STX3,0.0
STX17,0.0
STX12,0.0
STT3B,0.0
STT3A,0.0
STRN,0.0
STRIP1,0.0
STRBP,0.0
STRAP,0.0
STRADA,0.0
SYNC,0.0
SYCP3,0.0
SYCP2,0.0
SYCN,0.0
SYAP1,0.0
SWT1,0.0
SWAP70,0.0
SVIL,0.0
SUV39H2,0.0
SUSD6,0.0
SUPV3L1,0.0
SUPT3H,0.0
SUOX,0.0
SUN2,0.0
SUMF1,0.0
SUDS3,0.0
TAGLN,0.0
TAF9B,0.0
TAF7,0.0
TAF2,0.0
TAF1B,0.0
TAF1A,0.0
TADA3,0.0
TADA2B,0.0
TADA2A,0.0
TADA1,0.0
TACSTD2,0.0
TACC3,0.0
TAB2,0.0
SYTL3,0.0
SYNRG,0.0
SYNE2,0.0
TC2N,0.0
TBX3,0.0
TBRG4,0.0
TBPL1,0.0
TBL1XR1,0.0
TBCC,0.0
TBC1D9B,0.0
TBC1D32,0.0
TBC1D31,0.0
TBC1D15,0.0
TARBP2,0.0
TAOK3,0.0
TANK,0.0
TANGO2,0.0
TANC1,0.0
TAMM41,0.0
TEFM,0.0
TEC,0.0
TEAD4,0.0
TEAD1,0.0
TDRKH,0.0
TDRD10,0.0
TDP2,0.0
TDP1,0.0
TDG,0.0
TCP11L1,0.0
TCN2,0.0
TCIRG1,0.0
TCF7L1,0.0
TCF12,0.0
TCEAL9,0.0
TCAF1,0.0
TIMM22,0.0
TIMELESS,0.0
TIGAR,0.0
TIAM1,0.0
TIA1,0.0
THUMPD2,0.0
THAP11,0.0
TGIF1,0.0
TGFBR1,0.0
TGDS,0.0
TFRC,0.0
TFIP11,0.0
TFB2M,0.0
TFAP2C,0.0
TEX30,0.0
TET1,0.0
TMCO3,0.0
TMA16,0.0
TM2D3,0.0
TLR7,0.0
TLN2,0.0
TLK2,0.0
TLE4,0.0
TKT,0.0
TJP2,0.0
TIPRL,0.0
TIPIN,0.0
TIPARP,0.0
TINF2,0.0
TIMP1,0.0
TIMM8A,0.0
TIMM50,0.0
TMEM47,0.0
TMEM41B,0.0
TMEM39A,0.0
TMEM254,0.0
TMEM214,0.0
TMEM209,0.0
TMEM192,0.0
TMEM19,0.0
TMEM183A,0.0
TMEM168,0.0
TMEM14A,0.0
TMEM131L,0.0
TMEM131,0.0
TMEM109,0.0
TMEM101,0.0
TMED9,0.0
TNKS,0.0
TNFSF9,0.0
TNFRSF21,0.0
TNFRSF12A,0.0
TNFAIP1,0.0
TMX4,0.0
TMX3,0.0
TMX2,0.0
TMUB1,0.0
TMTC3,0.0
TMF1,0.0
TMEM98,0.0
TMEM87A,0.0
TMEM86A,0.0
TMEM63B,0.0
TMEM63A,0.0
TPM4,0.0
TPM2,0.0
TPM1,0.0
TPK1,0.0
TPI1,0.0
TP53I3,0.0
TOR3A,0.0
TOPORS,0.0
TOP2B,0.0
TOP2A,0.0
TOMM34,0.0
TOGARAM1,0.0
TNPO3,0.0
TNPO2,0.0
TNNT1,0.0
TNN,0.0
TRIM59,0.0
TRIM46,0.0
TRIM37,0.0
TRIM36,0.0
TRIM24,0.0
TRAPPC6B,0.0
TRAPPC5,0.0
TRAPPC2L,0.0
TRAPPC2,0.0
TRAPPC13,0.0
TRAPPC11,0.0
TRAM1,0.0
TRAK2,0.0
TRAFD1,0.0
TPST1,0.0
TPMT,0.0
TSEN34,0.0
TSC22D2,0.0
TSC22D1,0.0
TRPM7,0.0
TRPM6,0.0
TRNT1,0.0
TRNAU1AP,0.0
TRMU,0.0
TRMT5,0.0
TRMT1L,0.0
TRMT112,0.0
TRMT11,0.0
TRMT1,0.0
TRIP6,0.0
TRIP11,0.0
TRIML2,0.0
TTK,0.0
TTF2,0.0
TTC5,0.0
TTC4,0.0
TTC3,0.0
TTC21B,0.0
TTC17,0.0
TTC14,0.0
TSTD1,0.0
TSR2,0.0
TSPAN6,0.0
TSPAN3,0.0
TSPAN13,0.0
TSPAN1,0.0
TSNAX,0.0
TSGA10,0.0
UACA,0.0
TYW5,0.0
TYRO3,0.0
TXNRD1,0.0
TXNDC9,0.0
TXNDC15,0.0
TXNDC12,0.0
TXLNA,0.0
TWF2,0.0
TWF1,0.0
TULP3,0.0
TUFT1,0.0
TUFM,0.0
TUBE1,0.0
TUBB,0.0
TUBA4A,0.0
UBXN2B,0.0
UBR5,0.0
UBQLN1,0.0
UBLCP1,0.0
UBL7,0.0
UBE4A,0.0
UBE2T,0.0
UBE2J1,0.0
UBE2H,0.0
UBASH3B,0.0
UBAP2,0.0
UBAP1,0.0
UBAC2,0.0
UBA6,0.0
UBA5,0.0
UAP1,0.0
UPK1B,0.0
UNG,0.0
UNC45A,0.0
UMPS,0.0
ULK4,0.0
UHRF2,0.0
UGP2,0.0
UGDH,0.0
UGCG,0.0
UFSP2,0.0
UFL1,0.0
UFD1,0.0
UEVLD,0.0
UCP2,0.0
UCHL1,0.0
UBXN4,0.0
USP37,0.0
USP34,0.0
USP28,0.0
USP25,0.0
USP24,0.0
USP2,0.0
USP15,0.0
USP11,0.0
USF1,0.0
UROD,0.0
URM1,0.0
URI1,0.0
URB2,0.0
UQCRC2,0.0
UQCRC1,0.0
UPRT,0.0
UTP4,0.0
UTP23,0.0
UTP20,0.0
UTP18,0.0
UTP15,0.0
UTP11,0.0
USPL1,0.0
USP9X,0.0
USP7,0.0
USP53,0.0
USP5,0.0
USP47,0.0
USP45,0.0
USP44,0.0
USP4,0.0
USP38,0.0
VRK1,0.0
VPS50,0.0
VPS45,0.0
VPS41,0.0
VPS39,0.0
VPS26A,0.0
VPS11,0.0
VMP1,0.0
VIRMA,0.0
VIPAS39,0.0
VIM,0.0
VCP,0.0
VCL,0.0
VCAN,0.0
UTRN,0.0
UTP6,0.0
ABHD5,0.0
ABCB7,0.0
ABHD18,0.0
WDR19,0.0
WDR18,0.0
WDR12,0.0
WDHD1,0.0
WDFY3,0.0
WASHC5,0.0
WASHC4,0.0
WASF2,0.0
WAPL,0.0
WAC,0.0
VWA5B2,0.0
VRTN,0.0
VRK2,0.0
WDR48,0.0
WDR47,0.0
WDR43,0.0
WDR36,0.0
WDR3,0.0
WDR26,0.0
ACBD6,0.0
ACAT1,0.0
ACADSB,0.0
ACADM,0.0
ACADL,0.0
ACACA,0.0
ACAA1,0.0
ABRAXAS2,0.0
ABL1,0.0
ABI1,0.0
XPC,0.0
WWTR1,0.0
WWC3,0.0
WWC2,0.0
WSB1,0.0
WNK3,0.0
WNK1,0.0
WLS,0.0
WIPF2,0.0
WEE2,0.0
WDR91,0.0
WDR89,0.0
WDR77,0.0
WDR75,0.0
WDR6,0.0
WDR5,0.0
ZC2HC1A,0.0
ZBTB8OS,0.0
ZBTB44,0.0
ZBTB33,0.0
ZBTB11,0.0
ZBTB10,0.0
YWHAH,0.0
YTHDF2,0.0
YPEL5,0.0
YIF1A,0.0
YBX3,0.0
YBX2,0.0
XRCC5,0.0
XPO7,0.0
XPNPEP2,0.0
XPNPEP1,0.0
ZNF451,0.0
ZFP64,0.0
ZFP36L1,0.0
ZFP36,0.0
ZFP30,0.0
ZFP1,0.0
ZFAND2A,0.0
ZDHHC5,0.0
ZDHHC18,0.0
ZCCHC8,0.0
ZCCHC7,0.0
ZCCHC2,0.0
ZC3HC1,0.0
ZC3HAV1,0.0
ZC3H8,0.0
ZKSCAN1,0.0
ARAF,0.0
ZYG11B,0.0
ZWILCH,0.0
ZW10,0.0
ZSCAN26,0.0
ZP4,0.0
ZP3,0.0
ZNF217,0.0
ZNF207,0.0
ZNF205,0.0
ZNF148,0.0
ZNF146,0.0
ZNF143,0.0
ZNF134,0.0
ZMYND11,0.0
ZNF507,0.0
