factor,view,r2_pct
F1,RNA,30.653403684058954
F2,RNA,25.19318901383734
F3,RNA,6.1853119866445
F4,RNA,1.20306748225107
F5,RNA,1.333019730026851
F6,RNA,2.1761191624492837
F7,RNA,0.1551791842098875
F1,METH,66.5215986762653
F2,METH,0.7910859513648052
F3,METH,1.0117157702460202
F4,METH,2.608011372163929
F5,METH,2.275243093526364
F6,METH,1.6109834479349876
F7,METH,3.478947049765805
