stage,F1,F2,F3,F4,F5,F6,F7
E0,385.0399071208477,-808.5566807595054,445.6635111600184,-9.729107625743465,-33.37723038519684,-100.05143450951938,16.352539894021447
E1,62.301119302198344,-4.6663344915305816,477.91296848239557,-15.288715715433804,-69.2069172836586,-148.8828444680818,31.554702512189156
E10,229.93449479974166,-539.7617982549007,-207.23255663585616,-2.470110971656222,7.896354495345222,46.67282216671977,1.3682070546258789
E2,405.2981316459028,-810.1376916374277,549.3975820127167,-38.26470425547678,-58.26001045565346,-188.61104911378033,18.72761333614838
E3,318.1222154944842,-625.7538885959804,623.0423457661774,-28.512160155022432,-47.21343173526424,-186.55543210869246,3.5706273187054616
E4,-58.45770821421245,121.24908759450564,165.84784415124204,-24.278003423975104,-3.0867905229004475,-26.339205394288797,2.986715976120324
E5,-180.24539702912668,365.8434574453594,39.18449833520925,-21.47980281335285,23.485595735154366,2.238912445193478,-9.307211702600572
E6,-154.51132252869263,320.43160367928454,-105.46182236146585,13.034636264754504,15.414569622538556,71.14698885802731,-7.193226852579195
E7,-193.61165854220278,425.44830083307113,-93.57607386119977,16.31535090956342,15.90831874548414,55.12634108349199,-2.6200203345912474
E8,-131.44383642425353,301.1021324527647,-134.81394667354047,21.614403584760797,-3.1978891769038635,12.57826682583636,1.5171154629718029
E9,159.1573180702523,-377.3757755829676,-148.93589104933247,-6.8097916941696415,-0.8952797464454691,7.677745129556339,7.534730730745555
