test,species,rho,p_value,expr_matched_perm_p,n_genes
F1_observed,human,0.3477351916376308,0.025895912529101933,0.1054,41
F1_observed,mouse,0.36061776061776063,0.030723499322388773,0.0267,36
genome_wide,human,0.28678620959994694,1.2661260740690342e-44,,2291
genome_wide,mouse,0.19878826568598007,1.366425348576335e-20,,2149
