metric,value
F1_median_infoCpG,102.02272727272728
bg_median_infoCpG,69.69318181818181
matched_bg_median_infoCpG,70.11363636363636
expr_len_matched_permP,0.014985014985014986
F1_density_per_kb,28.917449332674245
bg_density_per_kb,17.166701442297576
density_MWU_P,0.007099127475543556
corr_expr_rho,0.020849076690124813
corr_expr_P,0.30939628994773716
corr_len_rho,0.07368036397703373
corr_len_P,0.0003222055190718219
