gene,mean_log2_FPKM_IVF,mean_log2_FPKM_PA,log2FC_PA_vs_IVF,rank_biserial_r,pvalue,n_IVF,n_PA,padj,significant
ENSSSCG00000037674,9.548144034768816,7.588895607055046,-1.9592484277137698,-0.3696145124716552,0.0415884552820841,21,21,0.2244664069512958,NS
ENSSSCG00000027294,7.606601069572142,8.168714791041364,0.5621137214692213,0.07029478458049887,0.705923845633216,21,21,0.8691022220107433,NS
ENSSSCG00000018081,13.718893371656103,13.436222156457115,-0.2826712151989881,-0.14739229024943312,0.4208290941795192,21,21,0.6751374148904354,NS
ENSSSCG00000018091,12.832082080996562,12.059049129930683,-0.7730329510658791,-0.3786848072562359,0.03680447117105262,21,21,0.21234539296334817,NS
ENSSSCG00000018069,11.920484082578636,11.490201022176851,-0.4302830604017842,-0.26077097505668934,0.15160731211683598,21,21,0.401864822689913,NS
ENSSSCG00000004489,7.5328711687752,5.660246825851336,-1.8726243429238645,-0.39229024943310664,0.0305109151381691,21,21,0.19671511075924816,NS
ENSSSCG00000038989,9.583150544970922,9.8382343864837,0.2550838415127785,0.1655328798185941,0.36514408957445854,21,21,0.6272800312138134,NS
ENSSSCG00000035520,8.709082692412315,8.530381624710767,-0.1787010677015477,-0.15192743764172345,0.4064599583160081,21,21,0.664517472366019,NS
ENSSSCG00000018076,13.007192511731793,12.180584298902037,-0.8266082128297558,-0.4467120181405895,0.013691289267922114,21,21,0.1343665870929123,NS
ENSSSCG00000018092,11.136422815195768,10.638730552193735,-0.4976922630020333,-0.21541950113378694,0.2370788366276667,21,21,0.49934320517832165,NS
ENSSSCG00000019556,3.1965337534525995,1.3529271737604225,-1.843606579692177,-0.1020408163265305,0.5799101311411211,21,21,0.794449839978317,NS
ENSSSCG00000018094,11.473715253914614,11.049880831134239,-0.4238344227803754,-0.21995464852607705,0.22724906376880494,21,21,0.49084652942506357,NS
ENSSSCG00000034113,5.733809395992734,6.326927482913236,0.5931180869205024,0.1428571428571429,0.43549215491585636,21,21,0.6880757384611778,NS
ENSSSCG00000018075,12.1239749188878,11.644419684407422,-0.47955523448037773,-0.32879818594104315,0.07010784129484465,21,21,0.27842598868122526,NS
ENSSSCG00000018082,11.850580855566353,11.323867790223758,-0.5267130653425944,-0.2517006802721089,0.16649147398308384,21,21,0.41913082991704775,NS
ENSSSCG00000006016,5.135330112888363,5.255557830172798,0.12022771728443438,0.020408163265306145,0.9198497691906573,21,21,0.9725908472022055,NS
ENSSSCG00000018078,11.28456087531776,10.996896368230924,-0.287664507086836,-0.17460317460317465,0.33911360013116165,21,21,0.6008056035381634,NS
ENSSSCG00000006220,8.589725912255577,8.172931593861636,-0.41679431839394177,0.05668934240362811,0.7627520182258121,21,21,0.9015297803289233,NS
ENSSSCG00000018067,9.87809805005385,9.404481758879564,-0.4736162911742863,-0.2290249433106577,0.2084687951379297,21,21,0.46888391299875337,NS
ENSSSCG00000011848,2.606588946096525,2.3326681188259752,-0.2739208272705498,-0.11564625850340127,0.5294187787914176,21,21,0.7578908227272798,NS
ENSSSCG00000040056,9.16181201600981,10.110194952573579,0.9483829365637693,0.6054421768707483,0.0008207116506800389,21,21,0.04179614971550859,NS
ENSSSCG00000029724,3.245973226365597,2.3626094550045638,-0.8833637713610334,-0.17913832199546476,0.32655631642696226,21,21,0.5929529726545689,NS
ENSSSCG00000020404,1.3324866951529042,0.3073679859466268,-1.0251187092062775,-0.1882086167800454,0.09013405411496699,21,21,0.3146040991494828,NS
ENSSSCG00000016128,3.3658745423284646,2.239333978383079,-1.1265405639453858,-0.21995464852607705,0.22724906376880494,21,21,0.49084652942506357,NS
ENSSSCG00000018087,9.567091676743392,8.508242215155287,-1.058849461588105,-0.45578231292517013,0.011883872063715774,21,21,0.12484435276736633,NS
ENSSSCG00000038747,3.303999775494679,4.953205939619478,1.649206164124799,0.31065759637188206,0.08702873441400347,21,21,0.3091496418228523,NS
ENSSSCG00000015091,2.923245407635553,3.4037795111937053,0.4805341035581523,0.1655328798185941,0.36514408957445854,21,21,0.6272800312138134,NS
ENSSSCG00000009019,3.146751425260469,2.2759003998256673,-0.8708510254348019,-0.1201814058956916,0.5130800796227113,21,21,0.7460214807570579,NS
ENSSSCG00000035219,6.224120505379628,6.551303134090925,0.3271826287112969,0.12925170068027214,0.48120815818423346,21,21,0.7223387232262236,NS
ENSSSCG00000006033,6.433278133639645,5.661557972725076,-0.771720160914569,-0.28798185941043086,0.11300913889451222,21,21,0.3499967010457579,NS
ENSSSCG00000016026,5.190555850461223,4.496699643591852,-0.6938562068693708,-0.14739229024943312,0.4208290941795192,21,21,0.6751374148904354,NS
ENSSSCG00000020817,3.032883731167215,3.5655442869075076,0.5326605557402924,0.23809523809523814,0.1908219317119737,21,21,0.44742370252398683,NS
ENSSSCG00000033177,4.009408224950832,4.381557068598471,0.372148843647639,0.12471655328798181,0.4970079892453181,21,21,0.7336937392345346,NS
