gene,IVF_vs_PA,IVF_vs_vivo,PA_vs_vivo,total_div,vivo_slope
ENSSSCG00000000002,0.600860197234818,0.49429470120624636,0.5355412488966286,1.630696147337693,0.00023014871583469038
ENSSSCG00000000014,0.4236593727240893,0.7667181225485354,0.7383100411941206,1.9286875364667453,-0.29869092122604957
ENSSSCG00000000018,0.5602325606942825,0.3918368959661757,0.5361646835760411,1.4882341402364991,0.02864394462426781
ENSSSCG00000000019,1.2873992570293764,0.8442393486717351,0.8256951107710719,2.9573337164721836,-0.028390311215934834
ENSSSCG00000000031,0.8213243858790646,0.7529950088632651,1.4407301912980668,3.0150495860403965,0.06088540184118833
ENSSSCG00000000036,0.3225200467537029,1.1815229354766692,1.2658449363184925,2.7698879185488643,-0.10528664027917659
ENSSSCG00000000037,0.27361745659320563,0.26854611794915323,0.5183801236402475,1.0605436981826064,-0.19090528282563748
ENSSSCG00000000039,0.5416600143342251,0.9823895519087055,1.1612986115888309,2.685348177831761,-0.09925700296908117
ENSSSCG00000000040,0.26745960178677225,0.7607911537995296,0.6041398238177269,1.6323905794040288,-0.29274111801692476
ENSSSCG00000000045,0.8799691842962133,1.1112711686832424,0.5780273440825386,2.5692676970619943,0.1059339054757496
ENSSSCG00000000058,0.799443576816814,0.7182836741188661,1.206705546555985,2.724432797491665,0.08103452554268034
ENSSSCG00000000059,0.20671899937566846,0.8218701640014575,1.0066941135899237,2.03528327696705,-0.14756227871671324
ENSSSCG00000000063,0.09370702160307236,1.627822713050842,1.6443915468742585,3.365921281528173,0.10506759583005038
ENSSSCG00000000064,0.5841648367384092,1.3083077542201254,1.5174661631495314,3.409938754108066,0.14008783852566836
ENSSSCG00000000066,0.22745874634414587,1.0957333956122088,1.1283498775430878,2.451542019499443,0.02444105729824439
ENSSSCG00000000068,0.725052481092332,0.6026383437976998,0.7636023909901554,2.0912932158801874,-0.07829294416416373
ENSSSCG00000000071,0.8881155185756656,1.086984435442702,1.845561412760672,3.8206613667790394,0.08040852937237475
ENSSSCG00000000072,0.8012533891124539,0.6380629994094289,0.42750948453874044,1.8668258730606233,-0.0892824190842594
ENSSSCG00000000075,0.341391951126725,0.5867656640397652,0.455111135031278,1.383268750197768,-0.19419999837013124
ENSSSCG00000000076,0.10601750884964803,0.6623445421779348,0.5691164145854116,1.3374784656129943,-0.23819828205817362
ENSSSCG00000000078,0.7486065331266067,0.7799989830925317,0.7508164189291217,2.27942193514826,-0.22132578522819274
ENSSSCG00000000084,1.0419734637563582,0.7526114631916981,0.6432068053813309,2.437791732329387,0.12392443076836987
ENSSSCG00000000092,0.23100144152861185,0.518075405141608,0.483705717528247,1.2327825641984669,-0.20876969742637372
