gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000001388,5,2,2,0.4,0.4
ENSSSCG00000001391,8,0,0,0.0,0.0
ENSSSCG00000001392,8,0,0,0.0,0.0
ENSSSCG00000001393,16,1,0,0.0625,0.0
ENSSSCG00000001394,10,2,0,0.2,0.0
ENSSSCG00000001395,2,0,0,0.0,0.0
ENSSSCG00000001396,3,0,0,0.0,0.0
ENSSSCG00000001400,13,0,0,0.0,0.0
ENSSSCG00000001401,3,1,1,0.3333333333333333,0.3333333333333333
ENSSSCG00000001402,14,0,0,0.0,0.0
ENSSSCG00000001403,3,0,0,0.0,0.0
ENSSSCG00000001407,2,0,0,0.0,0.0
ENSSSCG00000001409,38,25,20,0.6578947368421053,0.5263157894736842
ENSSSCG00000001410,5,2,1,0.4,0.2
ENSSSCG00000001411,23,9,8,0.391304347826087,0.34782608695652173
ENSSSCG00000001413,10,0,0,0.0,0.0
ENSSSCG00000001414,10,0,0,0.0,0.0
ENSSSCG00000001416,13,2,1,0.15384615384615385,0.07692307692307693
ENSSSCG00000001418,16,5,0,0.3125,0.0
ENSSSCG00000001419,3,0,0,0.0,0.0
ENSSSCG00000001420,53,7,4,0.1320754716981132,0.07547169811320754
ENSSSCG00000001421,33,4,4,0.12121212121212122,0.12121212121212122
ENSSSCG00000001422,34,4,4,0.11764705882352941,0.11764705882352941
ENSSSCG00000001423,19,0,0,0.0,0.0
ENSSSCG00000001424,19,0,0,0.0,0.0
ENSSSCG00000001425,6,0,0,0.0,0.0
ENSSSCG00000001426,6,0,0,0.0,0.0
ENSSSCG00000001427,8,1,1,0.125,0.125
ENSSSCG00000001428,31,22,4,0.7096774193548387,0.12903225806451613
ENSSSCG00000001430,1,0,0,0.0,0.0
ENSSSCG00000001431,4,0,0,0.0,0.0
ENSSSCG00000001433,10,1,1,0.1,0.1
ENSSSCG00000001434,3,0,0,0.0,0.0
ENSSSCG00000001435,9,0,0,0.0,0.0
ENSSSCG00000001436,9,0,0,0.0,0.0
ENSSSCG00000001437,16,11,9,0.6875,0.5625
ENSSSCG00000001438,35,7,6,0.2,0.17142857142857143
ENSSSCG00000001439,4,0,0,0.0,0.0
ENSSSCG00000001440,8,7,3,0.875,0.375
ENSSSCG00000001453,2,0,0,0.0,0.0
ENSSSCG00000001457,13,2,0,0.15384615384615385,0.0
ENSSSCG00000001458,2,0,0,0.0,0.0
ENSSSCG00000001459,4,4,0,1.0,0.0
ENSSSCG00000001463,22,9,9,0.4090909090909091,0.4090909090909091
ENSSSCG00000001469,3,1,0,0.3333333333333333,0.0
ENSSSCG00000001470,1,1,0,1.0,0.0
ENSSSCG00000001471,15,1,0,0.06666666666666667,0.0
ENSSSCG00000001472,12,2,1,0.16666666666666666,0.08333333333333333
ENSSSCG00000001473,16,1,0,0.0625,0.0
ENSSSCG00000001474,8,0,0,0.0,0.0
ENSSSCG00000001475,8,0,0,0.0,0.0
ENSSSCG00000001476,12,3,0,0.25,0.0
ENSSSCG00000001477,20,4,1,0.2,0.05
ENSSSCG00000001478,2,1,1,0.5,0.5
ENSSSCG00000001479,38,23,5,0.6052631578947368,0.13157894736842105
ENSSSCG00000001480,2,1,1,0.5,0.5
ENSSSCG00000001481,29,8,4,0.27586206896551724,0.13793103448275862
ENSSSCG00000001485,4,0,0,0.0,0.0
ENSSSCG00000001486,43,3,3,0.06976744186046512,0.06976744186046512
ENSSSCG00000001487,3,0,0,0.0,0.0
ENSSSCG00000001488,16,2,1,0.125,0.0625
ENSSSCG00000001490,16,3,2,0.1875,0.125
ENSSSCG00000001493,33,6,3,0.18181818181818182,0.09090909090909091
ENSSSCG00000001497,65,23,5,0.35384615384615387,0.07692307692307693
ENSSSCG00000001498,55,13,9,0.23636363636363636,0.16363636363636364
ENSSSCG00000001499,55,13,9,0.23636363636363636,0.16363636363636364
ENSSSCG00000001500,9,2,0,0.2222222222222222,0.0
ENSSSCG00000001501,10,3,0,0.3,0.0
ENSSSCG00000001502,10,3,0,0.3,0.0
ENSSSCG00000001503,18,3,3,0.16666666666666666,0.16666666666666666
ENSSSCG00000001504,17,11,0,0.6470588235294118,0.0
ENSSSCG00000001505,17,11,0,0.6470588235294118,0.0
ENSSSCG00000001506,15,0,0,0.0,0.0
ENSSSCG00000001507,14,1,1,0.07142857142857142,0.07142857142857142
ENSSSCG00000001509,13,4,0,0.3076923076923077,0.0
ENSSSCG00000001510,46,0,0,0.0,0.0
ENSSSCG00000001511,22,0,0,0.0,0.0
ENSSSCG00000001512,18,3,3,0.16666666666666666,0.16666666666666666
ENSSSCG00000001513,10,2,2,0.2,0.2
ENSSSCG00000001516,9,2,0,0.2222222222222222,0.0
ENSSSCG00000001517,9,2,0,0.2222222222222222,0.0
ENSSSCG00000001518,37,4,4,0.10810810810810811,0.10810810810810811
ENSSSCG00000001520,93,10,2,0.10752688172043011,0.021505376344086023
ENSSSCG00000001521,5,1,1,0.2,0.2
ENSSSCG00000001523,47,18,9,0.3829787234042553,0.19148936170212766
ENSSSCG00000001527,45,26,16,0.5777777777777777,0.35555555555555557
ENSSSCG00000001531,4,3,0,0.75,0.0
ENSSSCG00000001532,29,5,1,0.1724137931034483,0.034482758620689655
ENSSSCG00000001533,14,4,0,0.2857142857142857,0.0
ENSSSCG00000001534,14,4,0,0.2857142857142857,0.0
