gene,n_cpg_1x,n_cpg_5x,n_cpg_10x,frac_5x,frac_10x
ENSSSCG00000010479,13,4,3,0.3076923076923077,0.23076923076923078
ENSSSCG00000010480,10,1,0,0.1,0.0
ENSSSCG00000010481,2,0,0,0.0,0.0
ENSSSCG00000010483,7,3,0,0.42857142857142855,0.0
ENSSSCG00000010484,11,1,0,0.09090909090909091,0.0
ENSSSCG00000010485,62,32,22,0.5161290322580645,0.3548387096774194
ENSSSCG00000010489,8,2,0,0.25,0.0
ENSSSCG00000010493,47,24,15,0.5106382978723404,0.3191489361702128
ENSSSCG00000010494,15,3,3,0.2,0.2
ENSSSCG00000010495,7,3,2,0.42857142857142855,0.2857142857142857
ENSSSCG00000010496,14,7,7,0.5,0.5
ENSSSCG00000010497,14,7,7,0.5,0.5
ENSSSCG00000010502,1,0,0,0.0,0.0
ENSSSCG00000010503,15,2,0,0.13333333333333333,0.0
ENSSSCG00000010504,6,0,0,0.0,0.0
ENSSSCG00000010506,1,1,1,1.0,1.0
ENSSSCG00000010507,42,0,0,0.0,0.0
ENSSSCG00000010509,57,15,3,0.2631578947368421,0.05263157894736842
ENSSSCG00000010512,7,1,0,0.14285714285714285,0.0
ENSSSCG00000010513,57,15,3,0.2631578947368421,0.05263157894736842
ENSSSCG00000010514,6,2,0,0.3333333333333333,0.0
ENSSSCG00000010517,11,2,0,0.18181818181818182,0.0
ENSSSCG00000010518,8,3,2,0.375,0.25
ENSSSCG00000010519,8,3,2,0.375,0.25
ENSSSCG00000010520,47,27,25,0.574468085106383,0.5319148936170213
ENSSSCG00000010521,47,27,25,0.574468085106383,0.5319148936170213
ENSSSCG00000010522,37,14,13,0.3783783783783784,0.35135135135135137
ENSSSCG00000010523,1,0,0,0.0,0.0
ENSSSCG00000010525,14,3,0,0.21428571428571427,0.0
ENSSSCG00000010527,46,5,2,0.10869565217391304,0.043478260869565216
ENSSSCG00000010528,6,3,3,0.5,0.5
ENSSSCG00000010529,65,51,16,0.7846153846153846,0.24615384615384617
ENSSSCG00000010530,47,18,12,0.3829787234042553,0.2553191489361702
ENSSSCG00000010531,1,0,0,0.0,0.0
ENSSSCG00000010532,4,2,0,0.5,0.0
ENSSSCG00000010534,13,7,2,0.5384615384615384,0.15384615384615385
ENSSSCG00000010535,10,1,1,0.1,0.1
ENSSSCG00000010536,37,18,12,0.4864864864864865,0.32432432432432434
ENSSSCG00000010537,5,0,0,0.0,0.0
ENSSSCG00000010538,48,34,7,0.7083333333333334,0.14583333333333334
ENSSSCG00000010540,6,0,0,0.0,0.0
ENSSSCG00000010541,14,8,8,0.5714285714285714,0.5714285714285714
ENSSSCG00000010542,14,8,8,0.5714285714285714,0.5714285714285714
ENSSSCG00000010543,1,0,0,0.0,0.0
ENSSSCG00000010544,40,0,0,0.0,0.0
ENSSSCG00000010545,4,1,0,0.25,0.0
ENSSSCG00000010546,2,0,0,0.0,0.0
ENSSSCG00000010548,1,0,0,0.0,0.0
ENSSSCG00000010550,5,1,1,0.2,0.2
ENSSSCG00000010551,7,0,0,0.0,0.0
ENSSSCG00000010552,13,4,2,0.3076923076923077,0.15384615384615385
ENSSSCG00000010554,13,4,2,0.3076923076923077,0.15384615384615385
ENSSSCG00000010555,9,3,3,0.3333333333333333,0.3333333333333333
ENSSSCG00000010556,15,5,5,0.3333333333333333,0.3333333333333333
ENSSSCG00000010559,16,0,0,0.0,0.0
ENSSSCG00000010560,9,0,0,0.0,0.0
ENSSSCG00000010561,49,26,20,0.5306122448979592,0.40816326530612246
ENSSSCG00000010563,19,3,1,0.15789473684210525,0.05263157894736842
ENSSSCG00000010564,5,1,0,0.2,0.0
ENSSSCG00000010565,5,1,0,0.2,0.0
ENSSSCG00000010566,27,8,5,0.2962962962962963,0.18518518518518517
ENSSSCG00000010568,11,6,0,0.5454545454545454,0.0
ENSSSCG00000010569,7,1,1,0.14285714285714285,0.14285714285714285
ENSSSCG00000010570,3,0,0,0.0,0.0
ENSSSCG00000010571,83,44,10,0.5301204819277109,0.12048192771084337
ENSSSCG00000010573,9,1,1,0.1111111111111111,0.1111111111111111
ENSSSCG00000010574,45,8,3,0.17777777777777778,0.06666666666666667
ENSSSCG00000010575,18,8,5,0.4444444444444444,0.2777777777777778
ENSSSCG00000010576,9,0,0,0.0,0.0
ENSSSCG00000010577,10,0,0,0.0,0.0
ENSSSCG00000010578,32,4,0,0.125,0.0
ENSSSCG00000010579,1,1,0,1.0,0.0
ENSSSCG00000010580,16,9,7,0.5625,0.4375
ENSSSCG00000010581,42,37,33,0.8809523809523809,0.7857142857142857
ENSSSCG00000010584,3,0,0,0.0,0.0
ENSSSCG00000010585,13,2,1,0.15384615384615385,0.07692307692307693
ENSSSCG00000010586,21,10,0,0.47619047619047616,0.0
ENSSSCG00000010589,9,3,3,0.3333333333333333,0.3333333333333333
ENSSSCG00000010592,9,3,2,0.3333333333333333,0.2222222222222222
ENSSSCG00000010593,35,8,2,0.22857142857142856,0.05714285714285714
ENSSSCG00000010594,2,2,2,1.0,1.0
ENSSSCG00000010595,71,12,7,0.16901408450704225,0.09859154929577464
ENSSSCG00000010597,17,2,0,0.11764705882352941,0.0
ENSSSCG00000010599,7,1,1,0.14285714285714285,0.14285714285714285
ENSSSCG00000010600,11,4,0,0.36363636363636365,0.0
ENSSSCG00000010601,18,6,1,0.3333333333333333,0.05555555555555555
ENSSSCG00000010603,19,4,2,0.21052631578947367,0.10526315789473684
ENSSSCG00000010604,24,7,0,0.2916666666666667,0.0
ENSSSCG00000010605,34,29,20,0.8529411764705882,0.5882352941176471
ENSSSCG00000010606,17,4,0,0.23529411764705882,0.0
ENSSSCG00000010607,7,6,6,0.8571428571428571,0.8571428571428571
ENSSSCG00000010608,7,6,6,0.8571428571428571,0.8571428571428571
ENSSSCG00000010609,2,1,0,0.5,0.0
ENSSSCG00000010610,2,0,0,0.0,0.0
ENSSSCG00000010613,27,7,6,0.25925925925925924,0.2222222222222222
ENSSSCG00000010614,1,0,0,0.0,0.0
ENSSSCG00000010617,22,9,6,0.4090909090909091,0.2727272727272727
ENSSSCG00000010620,15,7,2,0.4666666666666667,0.13333333333333333
ENSSSCG00000010621,12,11,8,0.9166666666666666,0.6666666666666666
ENSSSCG00000010625,12,4,3,0.3333333333333333,0.25
ENSSSCG00000010626,6,2,0,0.3333333333333333,0.0
ENSSSCG00000010627,29,9,7,0.3103448275862069,0.2413793103448276
ENSSSCG00000010628,20,2,2,0.1,0.1
ENSSSCG00000010629,68,11,4,0.16176470588235295,0.058823529411764705
ENSSSCG00000010631,58,44,21,0.7586206896551724,0.3620689655172414
ENSSSCG00000010632,2,0,0,0.0,0.0
ENSSSCG00000010635,3,0,0,0.0,0.0
ENSSSCG00000010638,29,2,0,0.06896551724137931,0.0
ENSSSCG00000010639,3,0,0,0.0,0.0
ENSSSCG00000010640,59,46,39,0.7796610169491526,0.6610169491525424
ENSSSCG00000010644,8,0,0,0.0,0.0
ENSSSCG00000010645,8,0,0,0.0,0.0
ENSSSCG00000010647,59,14,11,0.23728813559322035,0.1864406779661017
ENSSSCG00000010648,13,1,1,0.07692307692307693,0.07692307692307693
ENSSSCG00000010649,27,12,8,0.4444444444444444,0.2962962962962963
ENSSSCG00000010650,5,2,0,0.4,0.0
ENSSSCG00000010651,19,7,2,0.3684210526315789,0.10526315789473684
ENSSSCG00000010652,29,6,4,0.20689655172413793,0.13793103448275862
ENSSSCG00000010653,15,6,0,0.4,0.0
ENSSSCG00000010654,40,4,0,0.1,0.0
ENSSSCG00000010655,45,1,1,0.022222222222222223,0.022222222222222223
ENSSSCG00000010656,13,3,0,0.23076923076923078,0.0
ENSSSCG00000010658,1,0,0,0.0,0.0
ENSSSCG00000010659,6,6,0,1.0,0.0
ENSSSCG00000010660,2,0,0,0.0,0.0
ENSSSCG00000010664,9,2,2,0.2222222222222222,0.2222222222222222
ENSSSCG00000010665,3,0,0,0.0,0.0
ENSSSCG00000010666,70,19,5,0.2714285714285714,0.07142857142857142
ENSSSCG00000010669,28,11,11,0.39285714285714285,0.39285714285714285
ENSSSCG00000010672,3,0,0,0.0,0.0
ENSSSCG00000010674,5,0,0,0.0,0.0
ENSSSCG00000010679,15,0,0,0.0,0.0
ENSSSCG00000010680,15,0,0,0.0,0.0
ENSSSCG00000010681,10,0,0,0.0,0.0
ENSSSCG00000010682,30,6,5,0.2,0.16666666666666666
ENSSSCG00000010683,37,18,9,0.4864864864864865,0.24324324324324326
ENSSSCG00000010685,21,0,0,0.0,0.0
ENSSSCG00000010686,21,0,0,0.0,0.0
ENSSSCG00000010687,23,7,5,0.30434782608695654,0.21739130434782608
ENSSSCG00000010688,42,14,7,0.3333333333333333,0.16666666666666666
ENSSSCG00000010690,20,3,3,0.15,0.15
ENSSSCG00000010691,46,13,8,0.2826086956521739,0.17391304347826086
ENSSSCG00000010692,10,7,0,0.7,0.0
ENSSSCG00000010698,64,13,6,0.203125,0.09375
ENSSSCG00000010699,5,1,0,0.2,0.0
ENSSSCG00000010700,38,8,1,0.21052631578947367,0.02631578947368421
ENSSSCG00000010701,15,8,5,0.5333333333333333,0.3333333333333333
ENSSSCG00000010702,15,4,3,0.26666666666666666,0.2
ENSSSCG00000010703,80,13,8,0.1625,0.1
ENSSSCG00000010706,45,9,3,0.2,0.06666666666666667
ENSSSCG00000010717,2,1,1,0.5,0.5
ENSSSCG00000010718,1,0,0,0.0,0.0
ENSSSCG00000010719,12,1,0,0.08333333333333333,0.0
ENSSSCG00000010721,14,3,0,0.21428571428571427,0.0
ENSSSCG00000010723,32,2,0,0.0625,0.0
ENSSSCG00000010724,82,25,11,0.3048780487804878,0.13414634146341464
ENSSSCG00000010725,28,5,2,0.17857142857142858,0.07142857142857142
ENSSSCG00000010726,18,4,1,0.2222222222222222,0.05555555555555555
ENSSSCG00000010727,50,28,4,0.56,0.08
ENSSSCG00000010728,56,21,13,0.375,0.23214285714285715
ENSSSCG00000010732,9,3,2,0.3333333333333333,0.2222222222222222
ENSSSCG00000010733,42,3,0,0.07142857142857142,0.0
ENSSSCG00000010734,75,36,19,0.48,0.25333333333333335
ENSSSCG00000010735,47,17,11,0.3617021276595745,0.23404255319148937
ENSSSCG00000010737,14,4,3,0.2857142857142857,0.21428571428571427
ENSSSCG00000010738,41,6,5,0.14634146341463414,0.12195121951219512
ENSSSCG00000010739,191,115,65,0.6020942408376964,0.3403141361256545
ENSSSCG00000010741,21,14,10,0.6666666666666666,0.47619047619047616
ENSSSCG00000010742,24,3,0,0.125,0.0
ENSSSCG00000010743,24,3,0,0.125,0.0
ENSSSCG00000010744,42,12,7,0.2857142857142857,0.16666666666666666
ENSSSCG00000010745,42,12,7,0.2857142857142857,0.16666666666666666
ENSSSCG00000010746,16,3,2,0.1875,0.125
ENSSSCG00000010747,6,1,0,0.16666666666666666,0.0
ENSSSCG00000010752,29,3,0,0.10344827586206896,0.0
ENSSSCG00000010753,1,0,0,0.0,0.0
ENSSSCG00000010755,41,18,9,0.43902439024390244,0.21951219512195122
ENSSSCG00000010756,7,1,0,0.14285714285714285,0.0
ENSSSCG00000010757,148,63,47,0.42567567567567566,0.31756756756756754
ENSSSCG00000010759,61,20,11,0.32786885245901637,0.18032786885245902
ENSSSCG00000010761,51,6,5,0.11764705882352941,0.09803921568627451
ENSSSCG00000010762,32,0,0,0.0,0.0
ENSSSCG00000010764,12,2,0,0.16666666666666666,0.0
ENSSSCG00000010765,54,23,11,0.42592592592592593,0.2037037037037037
ENSSSCG00000010768,18,1,0,0.05555555555555555,0.0
ENSSSCG00000010770,21,1,0,0.047619047619047616,0.0
ENSSSCG00000010771,62,9,6,0.14516129032258066,0.0967741935483871
ENSSSCG00000010772,11,3,2,0.2727272727272727,0.18181818181818182
ENSSSCG00000010773,71,40,3,0.5633802816901409,0.04225352112676056
ENSSSCG00000010774,71,40,3,0.5633802816901409,0.04225352112676056
ENSSSCG00000010779,13,2,2,0.15384615384615385,0.15384615384615385
ENSSSCG00000010780,9,4,2,0.4444444444444444,0.2222222222222222
ENSSSCG00000010782,1,0,0,0.0,0.0
ENSSSCG00000010787,8,0,0,0.0,0.0
ENSSSCG00000010791,17,2,0,0.11764705882352941,0.0
ENSSSCG00000010792,27,14,3,0.5185185185185185,0.1111111111111111
ENSSSCG00000010794,18,3,0,0.16666666666666666,0.0
ENSSSCG00000010795,7,1,1,0.14285714285714285,0.14285714285714285
ENSSSCG00000010798,19,3,0,0.15789473684210525,0.0
ENSSSCG00000010799,10,1,0,0.1,0.0
ENSSSCG00000010800,1,0,0,0.0,0.0
ENSSSCG00000010801,61,16,8,0.26229508196721313,0.13114754098360656
ENSSSCG00000010802,33,9,4,0.2727272727272727,0.12121212121212122
ENSSSCG00000010809,1,0,0,0.0,0.0
ENSSSCG00000010811,49,16,8,0.32653061224489793,0.16326530612244897
ENSSSCG00000010814,7,0,0,0.0,0.0
ENSSSCG00000010816,57,15,3,0.2631578947368421,0.05263157894736842
ENSSSCG00000010817,9,2,1,0.2222222222222222,0.1111111111111111
ENSSSCG00000010820,13,3,2,0.23076923076923078,0.15384615384615385
ENSSSCG00000010821,32,19,10,0.59375,0.3125
ENSSSCG00000010822,6,0,0,0.0,0.0
ENSSSCG00000010823,10,0,0,0.0,0.0
ENSSSCG00000010824,47,24,11,0.5106382978723404,0.23404255319148937
ENSSSCG00000010825,89,20,14,0.2247191011235955,0.15730337078651685
ENSSSCG00000010826,31,7,4,0.22580645161290322,0.12903225806451613
ENSSSCG00000010829,28,9,7,0.32142857142857145,0.25
ENSSSCG00000010831,42,23,4,0.5476190476190477,0.09523809523809523
ENSSSCG00000010832,10,5,5,0.5,0.5
ENSSSCG00000010833,10,2,2,0.2,0.2
ENSSSCG00000010834,23,3,3,0.13043478260869565,0.13043478260869565
ENSSSCG00000010835,18,0,0,0.0,0.0
ENSSSCG00000010836,18,0,0,0.0,0.0
ENSSSCG00000010837,2,0,0,0.0,0.0
ENSSSCG00000010840,35,7,5,0.2,0.14285714285714285
ENSSSCG00000010849,64,21,11,0.328125,0.171875
ENSSSCG00000010853,12,3,1,0.25,0.08333333333333333
ENSSSCG00000010854,22,4,2,0.18181818181818182,0.09090909090909091
ENSSSCG00000010855,20,3,1,0.15,0.05
ENSSSCG00000010858,5,0,0,0.0,0.0
ENSSSCG00000010860,19,4,3,0.21052631578947367,0.15789473684210525
ENSSSCG00000010861,28,6,2,0.21428571428571427,0.07142857142857142
ENSSSCG00000010862,104,53,5,0.5096153846153846,0.04807692307692308
ENSSSCG00000010863,23,4,2,0.17391304347826086,0.08695652173913043
ENSSSCG00000010865,43,36,22,0.8372093023255814,0.5116279069767442
ENSSSCG00000010866,38,0,0,0.0,0.0
ENSSSCG00000010868,1,0,0,0.0,0.0
ENSSSCG00000010872,51,21,15,0.4117647058823529,0.29411764705882354
ENSSSCG00000010874,11,0,0,0.0,0.0
ENSSSCG00000010876,26,5,3,0.19230769230769232,0.11538461538461539
ENSSSCG00000010877,69,20,11,0.2898550724637681,0.15942028985507245
ENSSSCG00000010878,1,0,0,0.0,0.0
ENSSSCG00000010879,5,2,0,0.4,0.0
ENSSSCG00000010882,11,0,0,0.0,0.0
ENSSSCG00000010884,14,5,2,0.35714285714285715,0.14285714285714285
ENSSSCG00000010885,38,15,0,0.39473684210526316,0.0
ENSSSCG00000010888,18,14,0,0.7777777777777778,0.0
ENSSSCG00000010892,27,7,0,0.25925925925925924,0.0
ENSSSCG00000010893,9,0,0,0.0,0.0
ENSSSCG00000010894,44,1,1,0.022727272727272728,0.022727272727272728
ENSSSCG00000010896,6,3,0,0.5,0.0
ENSSSCG00000010897,35,12,6,0.34285714285714286,0.17142857142857143
ENSSSCG00000010900,102,53,19,0.5196078431372549,0.18627450980392157
ENSSSCG00000010903,26,20,6,0.7692307692307693,0.23076923076923078
ENSSSCG00000010904,32,10,6,0.3125,0.1875
ENSSSCG00000010908,4,0,0,0.0,0.0
ENSSSCG00000010911,113,42,35,0.37168141592920356,0.30973451327433627
ENSSSCG00000010912,2,2,1,1.0,0.5
ENSSSCG00000010915,47,23,14,0.48936170212765956,0.2978723404255319
ENSSSCG00000010922,52,35,29,0.6730769230769231,0.5576923076923077
ENSSSCG00000010923,12,1,0,0.08333333333333333,0.0
ENSSSCG00000010925,48,16,9,0.3333333333333333,0.1875
ENSSSCG00000010926,37,2,2,0.05405405405405406,0.05405405405405406
ENSSSCG00000010928,51,9,3,0.17647058823529413,0.058823529411764705
ENSSSCG00000010929,8,1,1,0.125,0.125
ENSSSCG00000010931,9,5,1,0.5555555555555556,0.1111111111111111
ENSSSCG00000010936,1,1,1,1.0,1.0
ENSSSCG00000010937,1,1,1,1.0,1.0
ENSSSCG00000010941,13,1,0,0.07692307692307693,0.0
ENSSSCG00000010943,89,22,11,0.24719101123595505,0.12359550561797752
ENSSSCG00000010947,9,7,5,0.7777777777777778,0.5555555555555556
ENSSSCG00000010948,11,4,3,0.36363636363636365,0.2727272727272727
ENSSSCG00000010949,34,7,5,0.20588235294117646,0.14705882352941177
ENSSSCG00000010952,3,0,0,0.0,0.0
ENSSSCG00000010954,1,0,0,0.0,0.0
ENSSSCG00000010955,40,16,5,0.4,0.125
ENSSSCG00000010956,25,5,3,0.2,0.12
ENSSSCG00000010957,65,19,17,0.2923076923076923,0.26153846153846155
ENSSSCG00000010959,21,7,7,0.3333333333333333,0.3333333333333333
ENSSSCG00000010960,2,0,0,0.0,0.0
ENSSSCG00000010962,6,0,0,0.0,0.0
ENSSSCG00000010966,4,1,0,0.25,0.0
ENSSSCG00000010967,2,0,0,0.0,0.0
ENSSSCG00000010968,14,14,14,1.0,1.0
ENSSSCG00000010969,14,4,1,0.2857142857142857,0.07142857142857142
ENSSSCG00000010971,46,22,2,0.4782608695652174,0.043478260869565216
ENSSSCG00000010972,14,0,0,0.0,0.0
ENSSSCG00000010973,24,10,2,0.4166666666666667,0.08333333333333333
ENSSSCG00000010974,60,31,23,0.5166666666666667,0.38333333333333336
ENSSSCG00000010980,6,5,3,0.8333333333333334,0.5
ENSSSCG00000010981,26,7,2,0.2692307692307692,0.07692307692307693
ENSSSCG00000010984,26,7,2,0.2692307692307692,0.07692307692307693
ENSSSCG00000010987,33,15,12,0.45454545454545453,0.36363636363636365
ENSSSCG00000010990,5,3,0,0.6,0.0
ENSSSCG00000010992,3,2,0,0.6666666666666666,0.0
ENSSSCG00000010994,12,2,2,0.16666666666666666,0.16666666666666666
ENSSSCG00000010995,19,4,4,0.21052631578947367,0.21052631578947367
ENSSSCG00000010996,20,4,4,0.2,0.2
ENSSSCG00000010997,1,0,0,0.0,0.0
ENSSSCG00000010999,21,11,11,0.5238095238095238,0.5238095238095238
ENSSSCG00000011000,82,41,27,0.5,0.32926829268292684
ENSSSCG00000011001,82,41,27,0.5,0.32926829268292684
ENSSSCG00000011002,39,35,29,0.8974358974358975,0.7435897435897436
ENSSSCG00000011003,2,0,0,0.0,0.0
ENSSSCG00000011004,35,4,4,0.11428571428571428,0.11428571428571428
ENSSSCG00000011010,9,3,1,0.3333333333333333,0.1111111111111111
ENSSSCG00000011013,59,13,12,0.22033898305084745,0.2033898305084746
ENSSSCG00000011014,53,13,8,0.24528301886792453,0.1509433962264151
ENSSSCG00000011018,6,0,0,0.0,0.0
ENSSSCG00000011020,4,1,1,0.25,0.25
ENSSSCG00000011022,3,1,0,0.3333333333333333,0.0
ENSSSCG00000011023,6,1,1,0.16666666666666666,0.16666666666666666
ENSSSCG00000011025,73,17,8,0.2328767123287671,0.1095890410958904
ENSSSCG00000011026,39,18,7,0.46153846153846156,0.1794871794871795
ENSSSCG00000011027,28,9,4,0.32142857142857145,0.14285714285714285
ENSSSCG00000011028,3,0,0,0.0,0.0
ENSSSCG00000011030,4,4,1,1.0,0.25
ENSSSCG00000011033,18,1,1,0.05555555555555555,0.05555555555555555
ENSSSCG00000011034,44,16,11,0.36363636363636365,0.25
ENSSSCG00000011036,41,23,10,0.5609756097560976,0.24390243902439024
ENSSSCG00000011037,2,0,0,0.0,0.0
ENSSSCG00000011038,1,0,0,0.0,0.0
ENSSSCG00000011039,3,2,1,0.6666666666666666,0.3333333333333333
ENSSSCG00000011040,50,16,0,0.32,0.0
ENSSSCG00000011041,8,4,4,0.5,0.5
ENSSSCG00000011042,11,4,3,0.36363636363636365,0.2727272727272727
ENSSSCG00000011043,65,22,4,0.3384615384615385,0.06153846153846154
ENSSSCG00000011045,23,18,0,0.782608695652174,0.0
ENSSSCG00000011046,52,24,7,0.46153846153846156,0.1346153846153846
ENSSSCG00000011047,145,82,61,0.5655172413793104,0.4206896551724138
ENSSSCG00000011048,66,25,4,0.3787878787878788,0.06060606060606061
ENSSSCG00000011049,3,0,0,0.0,0.0
ENSSSCG00000011051,10,3,0,0.3,0.0
ENSSSCG00000011056,11,7,2,0.6363636363636364,0.18181818181818182
ENSSSCG00000011059,16,1,1,0.0625,0.0625
ENSSSCG00000011060,20,0,0,0.0,0.0
ENSSSCG00000011061,21,11,6,0.5238095238095238,0.2857142857142857
ENSSSCG00000011064,56,43,8,0.7678571428571429,0.14285714285714285
ENSSSCG00000011065,14,6,3,0.42857142857142855,0.21428571428571427
ENSSSCG00000011068,13,7,3,0.5384615384615384,0.23076923076923078
ENSSSCG00000011069,10,2,2,0.2,0.2
ENSSSCG00000011070,6,0,0,0.0,0.0
ENSSSCG00000011071,27,17,2,0.6296296296296297,0.07407407407407407
ENSSSCG00000011074,8,4,3,0.5,0.375
ENSSSCG00000011075,2,1,1,0.5,0.5
ENSSSCG00000011076,57,15,9,0.2631578947368421,0.15789473684210525
ENSSSCG00000011077,10,2,0,0.2,0.0
ENSSSCG00000011078,9,3,0,0.3333333333333333,0.0
ENSSSCG00000011079,42,19,14,0.4523809523809524,0.3333333333333333
ENSSSCG00000011080,17,6,4,0.35294117647058826,0.23529411764705882
ENSSSCG00000011081,110,33,19,0.3,0.17272727272727273
ENSSSCG00000011082,27,8,7,0.2962962962962963,0.25925925925925924
ENSSSCG00000011085,50,11,3,0.22,0.06
ENSSSCG00000011087,61,33,24,0.5409836065573771,0.39344262295081966
ENSSSCG00000011090,73,15,12,0.2054794520547945,0.1643835616438356
ENSSSCG00000011101,5,3,2,0.6,0.4
ENSSSCG00000011102,19,0,0,0.0,0.0
ENSSSCG00000011103,92,24,16,0.2608695652173913,0.17391304347826086
ENSSSCG00000011104,21,3,1,0.14285714285714285,0.047619047619047616
ENSSSCG00000011106,4,3,0,0.75,0.0
ENSSSCG00000011107,57,12,8,0.21052631578947367,0.14035087719298245
ENSSSCG00000011110,52,13,4,0.25,0.07692307692307693
ENSSSCG00000011111,92,36,22,0.391304347826087,0.2391304347826087
ENSSSCG00000011112,4,0,0,0.0,0.0
ENSSSCG00000011113,4,0,0,0.0,0.0
ENSSSCG00000011114,10,3,2,0.3,0.2
ENSSSCG00000011117,3,2,0,0.6666666666666666,0.0
ENSSSCG00000011119,77,53,47,0.6883116883116883,0.6103896103896104
ENSSSCG00000011120,45,4,3,0.08888888888888889,0.06666666666666667
ENSSSCG00000011121,4,2,0,0.5,0.0
ENSSSCG00000011125,36,1,1,0.027777777777777776,0.027777777777777776
ENSSSCG00000011127,3,1,0,0.3333333333333333,0.0
ENSSSCG00000011128,5,4,0,0.8,0.0
ENSSSCG00000011129,40,15,6,0.375,0.15
ENSSSCG00000011131,49,35,17,0.7142857142857143,0.3469387755102041
ENSSSCG00000011133,39,6,5,0.15384615384615385,0.1282051282051282
ENSSSCG00000011134,19,2,0,0.10526315789473684,0.0
ENSSSCG00000011136,8,0,0,0.0,0.0
ENSSSCG00000011137,44,13,3,0.29545454545454547,0.06818181818181818
ENSSSCG00000011141,23,2,2,0.08695652173913043,0.08695652173913043
ENSSSCG00000011145,24,6,0,0.25,0.0
ENSSSCG00000011147,1,0,0,0.0,0.0
ENSSSCG00000011157,25,2,1,0.08,0.04
ENSSSCG00000011158,56,10,7,0.17857142857142858,0.125
ENSSSCG00000011160,78,54,8,0.6923076923076923,0.10256410256410256
ENSSSCG00000011162,102,65,21,0.6372549019607843,0.20588235294117646
ENSSSCG00000011163,69,10,5,0.14492753623188406,0.07246376811594203
ENSSSCG00000011166,111,16,11,0.14414414414414414,0.0990990990990991
ENSSSCG00000011167,3,0,0,0.0,0.0
ENSSSCG00000011168,2,0,0,0.0,0.0
ENSSSCG00000011169,19,5,4,0.2631578947368421,0.21052631578947367
ENSSSCG00000011171,8,0,0,0.0,0.0
ENSSSCG00000011176,72,19,15,0.2638888888888889,0.20833333333333334
ENSSSCG00000011178,5,0,0,0.0,0.0
ENSSSCG00000011179,5,0,0,0.0,0.0
ENSSSCG00000011181,13,1,0,0.07692307692307693,0.0
ENSSSCG00000011182,13,1,0,0.07692307692307693,0.0
ENSSSCG00000011183,1,0,0,0.0,0.0
ENSSSCG00000011186,6,2,1,0.3333333333333333,0.16666666666666666
ENSSSCG00000011190,16,1,0,0.0625,0.0
ENSSSCG00000011192,2,0,0,0.0,0.0
ENSSSCG00000011193,2,0,0,0.0,0.0
ENSSSCG00000011194,31,11,10,0.3548387096774194,0.3225806451612903
ENSSSCG00000011195,15,4,0,0.26666666666666666,0.0
ENSSSCG00000011197,7,4,2,0.5714285714285714,0.2857142857142857
ENSSSCG00000011198,32,8,3,0.25,0.09375
ENSSSCG00000011199,3,1,1,0.3333333333333333,0.3333333333333333
ENSSSCG00000011201,46,5,5,0.10869565217391304,0.10869565217391304
ENSSSCG00000011204,21,2,1,0.09523809523809523,0.047619047619047616
ENSSSCG00000011205,1,0,0,0.0,0.0
ENSSSCG00000011206,1,1,1,1.0,1.0
ENSSSCG00000011207,5,0,0,0.0,0.0
ENSSSCG00000011208,4,0,0,0.0,0.0
ENSSSCG00000011212,14,3,0,0.21428571428571427,0.0
ENSSSCG00000011213,48,11,9,0.22916666666666666,0.1875
ENSSSCG00000011214,7,0,0,0.0,0.0
ENSSSCG00000011215,7,0,0,0.0,0.0
ENSSSCG00000011216,23,12,7,0.5217391304347826,0.30434782608695654
ENSSSCG00000011217,4,1,1,0.25,0.25
ENSSSCG00000011218,30,9,7,0.3,0.23333333333333334
ENSSSCG00000011226,22,3,1,0.13636363636363635,0.045454545454545456
ENSSSCG00000011229,115,54,26,0.46956521739130436,0.22608695652173913
ENSSSCG00000011230,35,18,17,0.5142857142857142,0.4857142857142857
ENSSSCG00000011233,14,9,8,0.6428571428571429,0.5714285714285714
ENSSSCG00000011234,4,0,0,0.0,0.0
ENSSSCG00000011235,43,6,6,0.13953488372093023,0.13953488372093023
ENSSSCG00000011236,33,6,0,0.18181818181818182,0.0
ENSSSCG00000011237,12,1,0,0.08333333333333333,0.0
ENSSSCG00000011238,21,3,3,0.14285714285714285,0.14285714285714285
ENSSSCG00000011239,4,0,0,0.0,0.0
ENSSSCG00000011241,19,4,1,0.21052631578947367,0.05263157894736842
ENSSSCG00000011243,1,0,0,0.0,0.0
ENSSSCG00000011245,1,0,0,0.0,0.0
ENSSSCG00000011246,12,2,0,0.16666666666666666,0.0
ENSSSCG00000011249,13,2,2,0.15384615384615385,0.15384615384615385
ENSSSCG00000011250,70,46,36,0.6571428571428571,0.5142857142857142
ENSSSCG00000011251,14,2,1,0.14285714285714285,0.07142857142857142
ENSSSCG00000011253,70,46,36,0.6571428571428571,0.5142857142857142
ENSSSCG00000011254,6,3,3,0.5,0.5
ENSSSCG00000011255,6,1,0,0.16666666666666666,0.0
ENSSSCG00000011256,2,0,0,0.0,0.0
ENSSSCG00000011257,36,13,10,0.3611111111111111,0.2777777777777778
ENSSSCG00000011258,15,0,0,0.0,0.0
ENSSSCG00000011259,12,3,0,0.25,0.0
ENSSSCG00000011260,1,0,0,0.0,0.0
ENSSSCG00000011261,13,3,1,0.23076923076923078,0.07692307692307693
