gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,sig
ENSSSCG00000007495,284.39148640129423,11.58133563896261,1.5734540978420588,7.360453447511456,1.832865465461758e-13,4.442662236560917e-11,ENSSSCG00000007495,CASS4,True
ENSSSCG00000015273,169.14116563123488,-6.040242659757117,0.8231303592999172,-7.3381361670275655,2.165887590428171e-13,5.107982463263843e-11,ENSSSCG00000015273,ATP2B4,True
ENSSSCG00000045335,732.7683078150153,12.834346241443772,1.7578738103355143,7.30106232084666,2.855044577836693e-13,6.556083943737626e-11,ENSSSCG00000045335,ENSSSCG00000045335,True
ENSSSCG00000063467,70.45236006423804,-9.076082927839144,1.2480132736009983,-7.272424997252756,3.530906391890072e-13,7.90017671170071e-11,ENSSSCG00000063467,ENSSSCG00000063467,True
ENSSSCG00000016579,4063.5794794694,25.48565641381945,3.5244710757047746,7.231058467041947,4.792439550026355e-13,1.0454706878382494e-10,ENSSSCG00000016579,CCDC136,True
ENSSSCG00000013064,810.9304968224483,-7.041808305092423,0.9780485950892033,-7.199855242826838,6.027651742348397e-13,1.2828607098471248e-10,ENSSSCG00000013064,ENSSSCG00000013064,True
ENSSSCG00000057209,658.1445328691685,-8.473190395611494,1.180066579163428,-7.1802646945719815,6.957658132601521e-13,1.4356033942734776e-10,ENSSSCG00000057209,POLR3B,True
ENSSSCG00000010341,2692.679925887618,-8.275383705783211,1.1528831350298432,-7.177990079253781,7.074369236048538e-13,1.4356033942734776e-10,ENSSSCG00000010341,TSPAN14,True
ENSSSCG00000003070,235.01225173146682,7.1978379572521805,1.0139382770803052,7.098891638629896,1.2576136365670293e-12,2.4940764983372496e-10,ENSSSCG00000003070,ZNF45,True
ENSSSCG00000021310,693.6943838202982,-7.057109940549757,0.9957461606503907,-7.087257997500357,1.3679522164242215e-12,2.652611342337279e-10,ENSSSCG00000021310,LIN9,True
ENSSSCG00000003288,6058.45679293094,22.29922727722425,3.2003417771313307,6.967764329599967,3.2201705078062806e-12,5.978554861939916e-10,ENSSSCG00000003288,HSPBP1,True
ENSSSCG00000010525,274.64046261591096,23.984395001841474,3.4416716363775666,6.968821414667427,3.196070928471644e-12,5.978554861939916e-10,ENSSSCG00000010525,PI4K2A,True
ENSSSCG00000010330,465.5390959039766,-10.847993324306197,1.5577867793885243,-6.963721523278265,3.3139938759289932e-12,6.024564700282581e-10,ENSSSCG00000010330,PPIF,True
ENSSSCG00000000141,195.03064422531997,21.659290013818204,3.112626754257861,6.958524655803903,3.438545697664793e-12,6.123418317923058e-10,ENSSSCG00000000141,EIF3D,True
ENSSSCG00000031518,1845.1968198089935,-11.900312996874012,1.7134000671286007,-6.945437452221615,3.772893623716016e-12,6.584453952109192e-10,ENSSSCG00000031518,STARD4,True
ENSSSCG00000011603,404.3762118121163,-15.870232411751445,2.2949932413998937,-6.915154313078047,4.673543557965301e-12,7.99634138956965e-10,ENSSSCG00000011603,TMEM43,True
ENSSSCG00000012318,89.90580367580863,-7.6681587698022415,1.1195255866497598,-6.84947165231803,7.41232350186703e-12,1.2203761297602206e-09,ENSSSCG00000012318,MAGED1,True
ENSSSCG00000027017,1851.9541147126622,-7.559467183051375,1.1035774783353953,-6.849965074000838,7.386802077475208e-12,1.2203761297602206e-09,ENSSSCG00000027017,NR1D2,True
