gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,gene_symbol,sig
ENSSSCG00000015846,6.831787976746186,-2.577662283844667,1.271887070884414,-2.026643986601951,0.042698834687876934,0.11546018949067682,ENSSSCG00000015846,RBPMS,False
ENSSSCG00000009208,1686.576275078749,1.62617343275383,0.8027732962602161,2.025694477294511,0.042796102995544406,0.11558434371630198,ENSSSCG00000009208,HERC3,False
ENSSSCG00000052755,8.770635988725095,-3.5901159710799613,1.7720523725326929,-2.025964935759102,0.04276837800498045,0.11558434371630198,ENSSSCG00000052755,ENSSSCG00000052755,False
ENSSSCG00000058562,294.20145801513587,2.525007337162489,1.2464990528541315,2.025679306679723,0.0427976586016906,0.11558434371630198,ENSSSCG00000058562,ENSSSCG00000058562,False
ENSSSCG00000021527,21.55681895046401,2.6166306774554724,1.291730433742896,2.025678585177844,0.04279773258622183,0.11558434371630198,ENSSSCG00000021527,ATP10B,False
ENSSSCG00000016234,7186.8197858190215,-1.3244757173681823,0.6540874112566213,-2.02492158475214,0.0428754168195981,0.11575831904944708,ENSSSCG00000016234,CUL3,False
ENSSSCG00000028695,10.806362681240794,-3.3648205241594518,1.6620438295612239,-2.024507696074271,0.04291794092178896,0.11576567310155501,ENSSSCG00000028695,ENSSSCG00000028695,False
ENSSSCG00000033753,9122.334832222967,1.1312705067162356,0.5587547107837303,2.024628132672874,0.04290556324623999,0.11576567310155501,ENSSSCG00000033753,UBXN2A,False
ENSSSCG00000053937,6206.323964641151,1.2384887476899602,0.6117275109495353,2.024575853663266,0.04291093576572815,0.11576567310155501,ENSSSCG00000053937,ARPP19,False
ENSSSCG00000026018,1699.3919069788806,1.2269961819130843,0.6061372208500749,2.0242878010234846,0.04294054806487476,0.11579085983130319,ENSSSCG00000026018,MFSD1,False
ENSSSCG00000016658,13366.900586595659,1.40681716112457,0.6952383707991692,2.0235033338385056,0.04302128021082655,0.1159727189124722,ENSSSCG00000016658,ANLN,False
ENSSSCG00000024780,36.404920428719635,2.2268403851613505,1.100796821807446,2.022934969511453,0.0430798526025816,0.11609474793394906,ENSSSCG00000024780,ZFAND1,False
ENSSSCG00000015284,3776.444311975693,1.4640962798287824,0.7241101379046897,2.0219248470479125,0.04318411640667691,0.116339796160748,ENSSSCG00000015284,MDM4,False
ENSSSCG00000000116,383.3917417369886,-2.215053028242306,1.0955895266632851,-2.0217909849763225,0.043197949501362055,0.11634114424348312,ENSSSCG00000000116,POLR2F,False
ENSSSCG00000017900,564.5819300188422,1.7277753958882511,0.8553775510912472,2.019897989705298,0.043393969863022644,0.11683300864694095,ENSSSCG00000017900,KIF1C,False
ENSSSCG00000024485,102.93382650732181,1.8032100657524726,0.893423692446185,2.018314581310578,0.04355850907082593,0.11714013182641261,ENSSSCG00000024485,RUNDC3B,False
ENSSSCG00000005631,152.8060920054169,-1.9756626573855343,0.9788306118190171,-2.018390754774258,0.04355058148892858,0.11714013182641261,ENSSSCG00000005631,FAM102A,False
ENSSSCG00000022705,145.51067797417852,1.77061013719758,0.8772239785356672,2.0184242343138235,0.04354709756670975,0.11714013182641261,ENSSSCG00000022705,SALL2,False
ENSSSCG00000011233,366.77817932523,-2.6717953275419535,1.3237958157864773,-2.0182835567844877,0.043561738227906134,0.11714013182641261,ENSSSCG00000011233,DYNC1LI1,False
ENSSSCG00000050522,49.37653560833436,2.4773489605861383,1.2277596733246643,2.0177800382363897,0.04361417473566751,0.11724500577431754,ENSSSCG00000050522,ENSSSCG00000050522,False
ENSSSCG00000054578,774.0094218200875,2.1872194814161037,1.0845133295708584,2.016775102507579,0.04371898830538755,0.11749057343788474,ENSSSCG00000054578,RPS14,False
ENSSSCG00000027669,6.580710014831358,-4.965074187236465,2.4633918036905076,-2.015543844790782,0.043847696886704354,0.11780018566298713,ENSSSCG00000027669,TNS1,False
ENSSSCG00000036452,106.74605893652523,-1.6098867942881432,0.7989453838141148,-2.0150148269242703,0.04390309555124496,0.11791271522935166,ENSSSCG00000036452,LRRC17,False
ENSSSCG00000011030,5.050440802408654,-4.170377791658726,2.0717639039935967,-2.0129599630632504,0.04411884147760793,0.11834645273089664,ENSSSCG00000011030,CUBN,False
ENSSSCG00000016826,272.0095732812543,1.1499735961054796,0.5712256720745036,2.013168616755536,0.04409689359570996,0.11834645273089664,ENSSSCG00000016826,RAD1,False
ENSSSCG00000028178,1871.843383100007,-2.151922514571716,1.0688525046502484,-2.013301653136764,0.044082904566015386,0.11834645273089664,ENSSSCG00000028178,FH,False
ENSSSCG00000002771,20.193935728177355,-2.764342374827462,1.3732480979066777,-2.0129955971111926,0.04411509254763163,0.11834645273089664,ENSSSCG00000002771,EDC4,False
ENSSSCG00000029165,4.7418531888142885,-3.392768173492211,1.6855789844819025,-2.0128206418846926,0.044133501538788485,0.11834939595189561,ENSSSCG00000029165,DOK4,False
ENSSSCG00000011775,10038.86138758978,-1.7874239304218165,0.8881400724805281,-2.012547328744706,0.04416227284030597,0.1183901667602181,ENSSSCG00000011775,KLHL24,False
ENSSSCG00000017971,12.021636916483784,-13.14678463900597,6.536493461945817,-2.01129010769214,0.044294822774212254,0.11868675903821573,ENSSSCG00000017971,ENSSSCG00000017971,False
ENSSSCG00000004342,25351.083313225052,1.2143725565799024,0.6037929590552396,2.011240009290672,0.044300111641928555,0.11868675903821573,ENSSSCG00000004342,NDUFAF4,False
ENSSSCG00000038500,2095.1805564781334,2.090279095828773,1.0395995080672973,2.01065802706542,0.04436159033249523,0.11880413313822746,ENSSSCG00000038500,TRIB1,False
ENSSSCG00000039658,2601.2238600247165,1.399419742783132,0.6960321847914588,2.010567576271517,0.044371151718712275,0.11880413313822746,ENSSSCG00000039658,ENSSSCG00000039658,False
ENSSSCG00000011874,826.4868394381004,1.3402950571518397,0.6668328443992522,2.009941574427558,0.04443737289431,0.1189449435201684,ENSSSCG00000011874,PARP14,False
ENSSSCG00000003731,12.690869494872583,2.1030641339619858,1.0464695875887604,2.0096753492930404,0.04446556060102563,0.11898389506425933,ENSSSCG00000003731,GAREM1,False
ENSSSCG00000017272,1057.2142486165922,1.7208429353283448,0.8566486038078429,2.008808428192281,0.04455745409468213,0.11919323863586641,ENSSSCG00000017272,HELZ,False
ENSSSCG00000024694,63.082076087555045,-1.7156151879566082,0.854140701455557,-2.0085861556919093,0.04458104073247727,0.11921978591222698,ENSSSCG00000024694,TAF4,False
ENSSSCG00000036817,89.67080599197132,1.948474152702085,0.9701591676376508,2.0084066797478637,0.044600093662637286,0.11923419647676867,ENSSSCG00000036817,PPP4C,False
ENSSSCG00000000263,8.603577803021102,-3.9219677126612122,1.953390362956263,-2.0077746809018255,0.04466724052364331,0.1193577331781707,ENSSSCG00000000263,TNS2,False
ENSSSCG00000022618,165.76739521036214,-1.9085713462399714,0.9506189920216805,-2.00771430221588,0.04467365993122915,0.1193577331781707,ENSSSCG00000022618,CMTM8,False
ENSSSCG00000025463,39.23989479295216,1.4483508703288295,0.7214829558138441,2.007463736541173,0.044700308165190765,0.1193725516477122,ENSSSCG00000025463,PROS1,False
ENSSSCG00000015539,1667.9931557303346,1.4347681038749618,0.7147377675079382,2.0074049100239084,0.04470656644335588,0.1193725516477122,ENSSSCG00000015539,STX6,False
ENSSSCG00000034197,202.91513844545963,-1.9283161990202564,0.9607476503857987,-2.007099573177119,0.044739061678294355,0.11942277522324764,ENSSSCG00000034197,EDEM1,False
ENSSSCG00000007088,1669.7095077495442,-1.390325483176552,0.6932359318218454,-2.005558886024176,0.04490333214504325,0.11982461048857718,ENSSSCG00000007088,SNX5,False
ENSSSCG00000041333,856.3365971220559,1.607660339014306,0.8017918606721787,2.0050843839528767,0.04495402663519017,0.11992321504697935,ENSSSCG00000041333,ENSSSCG00000041333,False
ENSSSCG00000006542,645.05943584691,1.5628276452610452,0.7795965721292484,2.004662027941736,0.04499919057472439,0.12000701007183527,ENSSSCG00000006542,KCNN3,False
ENSSSCG00000015952,1052.7233293691177,-1.557654129729125,0.7773924174651365,-2.003690922029067,0.045103179315620134,0.12022137797520069,ENSSSCG00000015952,HAT1,False
ENSSSCG00000041010,221.62384514621803,1.080160215398183,0.5391060082098075,2.0036137586094385,0.04511145087296112,0.12022137797520069,ENSSSCG00000041010,ENSSSCG00000041010,False
ENSSSCG00000029901,2.61068252705062,-3.9477618305024063,1.9704074983221647,-2.0035255823295395,0.045120904523124256,0.12022137797520069,ENSSSCG00000029901,UBE2O,False
ENSSSCG00000043390,1239.8945431021548,1.456430977178919,0.7270995517664393,2.003069557174968,0.045169823043692596,0.12031498042712502,ENSSSCG00000043390,ENSSSCG00000043390,False
ENSSSCG00000037732,517.2607242711032,1.3753226979864133,0.6871689321771957,2.0014331754331525,0.04534572847783121,0.1207466666760925,ENSSSCG00000037732,ENSSSCG00000037732,False
ENSSSCG00000013496,55.55260452891952,3.042231015659342,1.520762804210996,2.0004638509275714,0.045450199604317724,0.12098793219868104,ENSSSCG00000013496,SIRT6,False
ENSSSCG00000054647,3729.473909669324,1.4589955727035655,0.7298208680804897,1.9991146273206553,0.045595952832593635,0.12133890955084234,ENSSSCG00000054647,ENSSSCG00000054647,False
ENSSSCG00000015402,462.2837039611353,1.6345916044655553,0.8177632860792664,1.998856676853934,0.04562386337311859,0.12136933231805624,ENSSSCG00000015402,CACNA2D1,False
ENSSSCG00000008614,4010.710187952147,1.2510816987546582,0.6259314570018802,1.9987519156604718,0.04563520276593428,0.12136933231805624,ENSSSCG00000008614,SMC6,False
ENSSSCG00000008849,7.282263305664368,-3.1579747043278945,1.580750493147172,-1.9977692355740284,0.04574168410234122,0.12161545870719973,ENSSSCG00000008849,ENSSSCG00000008849,False
ENSSSCG00000031698,3.9558855819984906,-3.9997736781070876,2.002626181177275,-1.9972642501636315,0.04579648473006269,0.12168928853930827,ENSSSCG00000031698,GFUS,False
ENSSSCG00000022659,1227.8839862491686,-1.4764891550726633,0.7392587161982319,-1.9972563362739486,0.04579734397926752,0.12168928853930827,ENSSSCG00000022659,CLTC,False
ENSSSCG00000004700,4638.960088970692,1.3335844618749952,0.6678233233025559,1.9969120803988718,0.04583473464890228,0.12171451446936134,ENSSSCG00000004700,PDIA3,False
ENSSSCG00000017785,22207.139876298672,1.1557779632042693,0.5787670022418334,1.9969658925394924,0.04582888825471082,0.12171451446936134,ENSSSCG00000017785,NUFIP2,False
ENSSSCG00000020842,799.1644986693245,-1.9868002447493758,0.9950521159916413,-1.9966795837315374,0.04586000135962159,0.12174178933025036,ENSSSCG00000020842,TAF13,False
ENSSSCG00000023118,33553.618382099754,-1.3347962841383474,0.668547758811764,-1.996560853798587,0.045872908929390686,0.12174178933025036,ENSSSCG00000023118,BZW2,False
ENSSSCG00000009440,1266.1979351922166,-1.5423725508240047,0.7726017874499058,-1.9963357267329767,0.0458973917272966,0.12176972946560966,ENSSSCG00000009440,ELF1,False
ENSSSCG00000052280,809.6046000610838,1.297563000714305,0.6500151270848076,1.9962043137882417,0.04591168810600141,0.12177063538388094,ENSSSCG00000052280,ENSSSCG00000052280,False
ENSSSCG00000032043,258.2920176320854,1.6002441502291713,0.8018109488296498,1.995787351825192,0.045957074119670024,0.12185397410156203,ENSSSCG00000032043,SLC35D1,False
ENSSSCG00000015489,4.855835950616699,-5.539163012830948,2.7758115833606385,-1.9955111672690535,0.04598715741355315,0.1218966997541509,ENSSSCG00000015489,ENSSSCG00000015489,False
ENSSSCG00000025651,194.5515082901384,1.6794613301790757,0.8418958476603932,1.994856412282179,0.04605854261769178,0.12204884387548692,ENSSSCG00000025651,GFM1,False
ENSSSCG00000037170,330.904546250948,1.6666646438849892,0.8359213853028512,1.993805486004121,0.046173315821560465,0.12231583298692672,ENSSSCG00000037170,POMP,False
ENSSSCG00000011572,750.0366669789717,1.363637019509154,0.6839861978978365,1.9936616026758385,0.04618904825928345,0.12232037484385658,ENSSSCG00000011572,SEC13,False
ENSSSCG00000003923,3.9371620019216196,-4.635776608776351,2.3255248498334917,-1.9934324112289208,0.04621411774721544,0.12234963333197875,ENSSSCG00000003923,HECTD3,False
ENSSSCG00000006202,6387.833547953913,1.0193374440684606,0.5114823484304547,1.9929083519625275,0.04627148360866154,0.12246435121904173,ENSSSCG00000006202,CSPP1,False
ENSSSCG00000021325,1057.0039126271552,1.8655717846204578,0.9361701556077133,1.9927699825139424,0.04628664014602597,0.1224673201680481,ENSSSCG00000021325,MCFD2,False
ENSSSCG00000036537,415.0773928251131,-1.6885780591098278,0.8474397149811924,-1.9925642252290514,0.04630918585604108,0.12248983200358124,ENSSSCG00000036537,NFIC,False
ENSSSCG00000062791,880.1692758270177,1.7988800517644858,0.9037127938005177,1.9905439693947324,0.04653104545031707,0.12303936442408082,ENSSSCG00000062791,ENSSSCG00000062791,False
ENSSSCG00000011961,972.0107401532439,-1.3049389368280464,0.6556659116641897,-1.9902497805870265,0.04656342705686132,0.12305041323384974,ENSSSCG00000011961,TFG,False
ENSSSCG00000043840,1612.470148496072,1.3628310576614973,0.6847301580843105,1.990318436498152,0.04655586834743102,0.12305041323384974,ENSSSCG00000043840,ENSSSCG00000043840,False
ENSSSCG00000022689,457.57408499881285,3.60228118105644,1.8106599335543754,1.9894852226530813,0.04664767129569615,0.12319842001399654,ENSSSCG00000022689,GADD45B,False
ENSSSCG00000034810,61.223532369601735,2.086310655420304,1.048658816850346,1.9895037565092455,0.04664562759218649,0.12319842001399654,ENSSSCG00000034810,PEF1,False
ENSSSCG00000009825,35.09950027400464,2.8071369428533433,1.4116948933361049,1.9884869996373948,0.046757855396323635,0.12344594877112049,ENSSSCG00000009825,PPTC7,False
ENSSSCG00000020808,18827.39241345693,1.3310250402282569,0.6694017747740734,1.98837990932648,0.04676968904851299,0.12344594877112049,ENSSSCG00000020808,CCT6A,False
ENSSSCG00000002461,9659.909690171911,1.3969396419211582,0.7027019229063072,1.9879547734031393,0.046816692118496546,0.12353264451950434,ENSSSCG00000002461,BTBD7,False
ENSSSCG00000026947,4.284383222442201,-4.272336858413681,2.149796097589406,-1.9873218968088682,0.04688673664063294,0.12368006769231046,ENSSSCG00000026947,GMPR2,False
ENSSSCG00000005062,47.76751180129585,-3.2024934798918623,1.611614462550284,-1.9871337434041805,0.04690757778358814,0.12369764996663346,ENSSSCG00000005062,TMEM260,False
ENSSSCG00000038615,623.7811984537947,-1.7177609633735216,0.8645755695480614,-1.9868257025484133,0.04694171529673871,0.12375027422336615,ENSSSCG00000038615,TAF9,False
ENSSSCG00000013658,11.27591472690933,-4.485118769916695,2.2577538310816205,-1.9865402100848226,0.04697337262632933,0.123796330274041,ENSSSCG00000013658,S1PR2,False
ENSSSCG00000012007,821.5388263009838,-14.961142245663579,7.534283215812774,-1.9857419501119216,0.047061984410724726,0.12399241424154105,ENSSSCG00000012007,HSPA13,False
ENSSSCG00000029343,385.83493075989657,2.6543568622149203,1.3370264852238305,1.9852687224595678,0.04711458195973648,0.12405607790605327,ENSSSCG00000029343,MFSD11,False
ENSSSCG00000034113,423960.3130220407,1.3714511016118243,0.6908007824116928,1.9853062366604093,0.04711041058768978,0.12405607790605327,ENSSSCG00000034113,ENSSSCG00000034113,False
ENSSSCG00000040879,27765.74716631873,1.230104905096929,0.6200942328171558,1.9837386642162889,0.047284980928189176,0.12446719263329675,ENSSSCG00000040879,ENSSSCG00000040879,False
ENSSSCG00000013582,20.88203742436855,-2.615667847681791,1.3186946481680575,-1.9835280679386247,0.04730847506545336,0.12449148173134682,ENSSSCG00000013582,XAB2,False
ENSSSCG00000006750,1691.6434174043427,-1.7541306943063737,0.8845069950615355,-1.9831733430037353,0.047348070400526236,0.12455811345040457,ENSSSCG00000006750,SYCP1,False
ENSSSCG00000002455,2518.9501391562408,1.693624335814559,0.8541236662430683,1.9828795322627013,0.04738088742940492,0.12460687875496905,ENSSSCG00000002455,GOLGA5,False
ENSSSCG00000008215,19.469068718735063,15.006533336386761,7.569755213722441,1.982433105522744,0.04743078742641716,0.12466296719364944,ENSSSCG00000008215,SMYD1,False
ENSSSCG00000040349,354.417504211717,-1.5312577268627685,0.7723643430299749,-1.9825588023078136,0.04741673301839659,0.12466296719364944,ENSSSCG00000040349,HOXD8,False
ENSSSCG00000004588,372.12535858146356,-1.3005452408697409,0.6561254766510689,-1.9821593386494545,0.04746140996881079,0.12470589081235861,ENSSSCG00000004588,CCNB2,False
ENSSSCG00000010719,145.5771224464182,-1.8334026403614678,0.9255076650075973,-1.980969698772206,0.04759467178889303,0.12501839434975334,ENSSSCG00000010719,ENSSSCG00000010719,False
ENSSSCG00000001475,15.755188316461153,-2.829545974849157,1.4289995959743849,-1.9800887157842675,0.04769356089551959,0.12520277147241396,ENSSSCG00000001475,SLC39A7,False
ENSSSCG00000010955,659.8938171370712,1.4541408859565772,0.7343445295886089,1.9801888995771637,0.04768230670862569,0.12520277147241396,ENSSSCG00000010955,GOLM1,False
ENSSSCG00000010219,67.90460601347408,-2.400925406442983,1.2129529390172324,-1.9794052425383282,0.04777039873082819,0.1252739066446954,ENSSSCG00000010219,ARID5B,False
ENSSSCG00000060574,261.18194731669934,2.0390288253825286,1.030124073223047,1.9794011987340763,0.047770853655235264,0.1252739066446954,ENSSSCG00000060574,ENSSSCG00000060574,False
ENSSSCG00000024636,34.16137992194299,2.678093348315896,1.3528882874455899,1.9795376847946904,0.047755501106470595,0.1252739066446954,ENSSSCG00000024636,TGFBRAP1,False
ENSSSCG00000020915,5.815006834208782,-3.5228795316618307,1.7798281201163708,-1.979336932507558,0.04777808403776601,0.1252739066446954,ENSSSCG00000020915,P4HA2,False
ENSSSCG00000056501,364.59874420112993,1.5528814441435206,0.7846121733108683,1.97917072531611,0.04779678772985733,0.12528530181157554,ENSSSCG00000056501,ENSSSCG00000056501,False
ENSSSCG00000051740,1336.431671164355,1.6623547187798091,0.8407891172379454,1.977136340965934,0.04802622094161668,0.1258488900710352,ENSSSCG00000051740,ENSSSCG00000051740,False
ENSSSCG00000051805,7.484633562612443,-4.369918335292349,2.2105318702736665,-1.976862850998546,0.04805713496444081,0.12589209237457535,ENSSSCG00000051805,ENSSSCG00000051805,False
ENSSSCG00000012424,426.616386350471,-1.8259376735263406,0.9237806352669503,-1.9765922815633483,0.04808773531539447,0.12589666317495715,ENSSSCG00000012424,ABCB7,False
ENSSSCG00000017472,3.0973599150627473,-3.9316563217484757,1.9890280788792667,-1.976672106089019,0.04807870576993215,0.12589666317495715,ENSSSCG00000017472,IGFBP4,False
ENSSSCG00000013589,262.16088484576846,2.4572686388514806,1.2438930422327963,1.9754661819159844,0.04821526872163912,0.12619269192112267,ENSSSCG00000013589,SNAPC2,False
ENSSSCG00000044703,15.468914276893418,1.7293695302617942,0.8755845128557279,1.975102922528218,0.048256469258139305,0.12626265389700858,ENSSSCG00000044703,ENSSSCG00000044703,False
ENSSSCG00000034090,100.38853182277524,1.7729064923602087,0.8978519220892635,1.9746090070562305,0.04831253612498308,0.12633359011884998,ENSSSCG00000034090,CRTC3,False
ENSSSCG00000054355,417.4025322007196,2.1479448158979606,1.0877204269241956,1.9747214106954092,0.04829977180701689,0.12633359011884998,ENSSSCG00000054355,ENSSSCG00000054355,False
ENSSSCG00000017744,36728.351640227265,1.4637738973445908,0.7414293532213716,1.974259436836116,0.048352250684984915,0.12639956245571551,ENSSSCG00000017744,SUZ12,False
ENSSSCG00000009341,3285.799257020391,-1.1362654281283688,0.575807972817225,-1.9733409083744076,0.048456735116522646,0.1266347620924758,ENSSSCG00000009341,ENSSSCG00000009341,False
ENSSSCG00000005063,6132.106542007734,1.176654206536603,0.5964338114836361,1.9728160675694457,0.04851652188112113,0.12675304489061764,ENSSSCG00000005063,OTX2,False
ENSSSCG00000056856,1909.5918269148917,1.102229415878922,0.558934376983813,1.972019366257093,0.04860739577304984,0.12695245001964467,ENSSSCG00000056856,ENSSSCG00000056856,False
ENSSSCG00000013501,3408.3077589811382,1.7390908540285173,0.8822225291587314,1.9712609875049065,0.048694031229267215,0.12706462814192157,ENSSSCG00000013501,CREB3L3,False
ENSSSCG00000011090,445.82240456325735,1.4037328671423384,0.7120671184954285,1.9713490915131346,0.048683959777165026,0.12706462814192157,ENSSSCG00000011090,NEBL,False
ENSSSCG00000000981,13.296106340111143,-14.98159360955693,7.599659858986079,-1.9713505456224094,0.04868379356793714,0.12706462814192157,ENSSSCG00000000981,CRELD2,False
ENSSSCG00000010211,7413.863428375998,1.0263030958557,0.5207165982009421,1.9709436945193257,0.0487303165050022,0.12712129800378152,ENSSSCG00000010211,CCDC6,False
ENSSSCG00000006848,1606.0024977041646,1.2686337200471884,0.643746464696432,1.9707039799363109,0.048757745052041196,0.12713587159274536,ENSSSCG00000006848,SLC25A24,False
ENSSSCG00000006496,84.63035383367082,-2.033038472961757,1.0316639493374438,-1.9706402208465432,0.04876504265653434,0.12713587159274536,ENSSSCG00000006496,LMNA,False
ENSSSCG00000010540,434.6201258672486,-1.7295701643291914,0.8777554139323038,-1.970446592383631,0.048787210199187345,0.12715567389429772,ENSSSCG00000010540,ENTPD7,False
ENSSSCG00000003165,1839.2094072945245,-1.6946067829358056,0.8602249930160949,-1.9699576235215237,0.048843227428725995,0.1272636615536169,ENSSSCG00000003165,RPS11,False
ENSSSCG00000004999,6631.19437133529,1.3800659255098755,0.7006135140419273,1.9697963254349777,0.04886171789246374,0.12727383591929511,ENSSSCG00000004999,MIS18BP1,False
ENSSSCG00000006543,4036.1206881848657,1.5962713126113055,0.8106110341616594,1.9692198173223519,0.04892785414705314,0.1274040889257252,ENSSSCG00000006543,ADAR,False
ENSSSCG00000026092,11.59932558140977,-2.5603954554835906,1.3002832275272447,-1.9691059619008606,0.04894092437302669,0.1274040889257252,ENSSSCG00000026092,SREBF2,False
ENSSSCG00000037002,1068.1563048634773,1.357597281053341,0.6898717747353039,1.9678979931803064,0.04907977577197372,0.12772744508984274,ENSSSCG00000037002,SERTAD2,False
ENSSSCG00000001201,18904.665845246433,1.1691006523002436,0.5941956548396718,1.967534839371545,0.049121583498844476,0.1277746267965411,ENSSSCG00000001201,ZKSCAN8,False
ENSSSCG00000003660,21193.78776970752,-1.692990903860593,0.8604931399808989,-1.9674658927532807,0.049129524285612576,0.1277746267965411,ENSSSCG00000003660,PABPC4,False
ENSSSCG00000017955,11.115166504922039,-12.390731381230195,6.298154638446724,-1.9673590269746133,0.04914183446357919,0.1277746267965411,ENSSSCG00000017955,ENSSSCG00000017955,False
ENSSSCG00000011853,334.4496144707035,1.4366576251916061,0.7303486314949412,1.9670847089162475,0.04917344580454822,0.12778066947304578,ENSSSCG00000011853,RUBCN,False
ENSSSCG00000011801,13.612834596350726,3.0202840663990607,1.535380841324486,1.9671237162199007,0.049168949714873955,0.12778066947304578,ENSSSCG00000011801,HRG,False
ENSSSCG00000017158,162.03978185640185,1.677388036973449,0.8528784951388485,1.9667374034332648,0.049213492407806946,0.12784666113442197,ENSSSCG00000017158,CCDC40,False
ENSSSCG00000038774,4.9574993591353,-3.498023929358769,1.7788169633838606,-1.9664889650616126,0.049242155770896474,0.1278830509692984,ENSSSCG00000038774,MAPK13,False
ENSSSCG00000033697,752.4246939344905,-1.8186938061850035,0.9249418358622398,-1.9662791060689773,0.04926637898433756,0.1279078914065247,ENSSSCG00000033697,ENSSSCG00000033697,False
ENSSSCG00000000394,90.37558459704927,2.222084234461839,1.1304312604671518,1.9656960243151456,0.0493337343481649,0.1280446656520187,ENSSSCG00000000394,CNPY2,False
ENSSSCG00000008334,7006.611658322776,1.148029705999285,0.5841010307254743,1.965464270065388,0.0493605271573683,0.12807611060814622,ENSSSCG00000008334,MXD1,False
ENSSSCG00000004680,13.598689985476343,3.391865998400849,1.7259744787234557,1.9651889643869471,0.049392370754776385,0.12812063828958942,ENSSSCG00000004680,TERB2,False
ENSSSCG00000048840,642.0483827746575,6.158735438566999,3.134543339317049,1.9647951142729638,0.049437955914736834,0.12820077364398028,ENSSSCG00000048840,ENSSSCG00000048840,False
ENSSSCG00000017156,26.757376485040087,-2.0114270242426264,1.0238118685521524,-1.9646451521285189,0.04945532216948705,0.12820770684817115,ENSSSCG00000017156,GAA,False
ENSSSCG00000000547,769.030079078198,-1.7151149361442803,0.873204961555875,-1.9641607774288086,0.049511449785274934,0.12831509083050463,ENSSSCG00000000547,ENSSSCG00000000547,False
ENSSSCG00000000299,16.607825554827727,-3.6109176548337487,1.8387800959477665,-1.963757201196245,0.04955825556103786,0.12839825950879347,ENSSSCG00000000299,TESPA1,False
ENSSSCG00000037343,5015.444057176278,1.814395215585305,0.9242943988619305,1.9630057455928995,0.049645506422938815,0.1285861350687338,ENSSSCG00000037343,MRPS11,False
ENSSSCG00000043522,120.64778964383012,1.9181335717358177,0.9772803360739339,1.962726047923577,0.04967801476254619,0.1286321533584505,ENSSSCG00000043522,ENSSSCG00000043522,False
ENSSSCG00000046532,620.2886755682491,1.6217387603442632,0.8263732237114401,1.9624773816613346,0.04970693141372091,0.12866884708280293,ENSSSCG00000046532,ENSSSCG00000046532,False
ENSSSCG00000022986,333.5967411181076,1.2272164613804317,0.6254583098737323,1.9621075329995736,0.049749966111665794,0.12874205346690265,ENSSSCG00000022986,CCSER1,False
ENSSSCG00000048650,4267.127822299876,1.3409767568854587,0.6834813527305686,1.961980018223083,0.049764810664901675,0.12874228812983457,ENSSSCG00000048650,ENSSSCG00000048650,False
ENSSSCG00000006581,8.574181616895155,-2.461573003227028,1.2550836625631014,-1.9612820058545444,0.04984613517221124,0.12891445628711182,ENSSSCG00000006581,ENSSSCG00000006581,False
ENSSSCG00000050048,1126.245812696694,1.9664676175091556,1.0028256814704377,1.9609266633715794,0.0498875784470917,0.12898341023091028,ENSSSCG00000050048,ENSSSCG00000050048,False
ENSSSCG00000017239,77.78977141859203,-2.60719255295725,1.3299582710076652,-1.9603566591468071,0.04995411786992742,0.1291171897313349,ENSSSCG00000017239,RPL38,False
ENSSSCG00000037305,49953.14816736843,0.9416043455396871,0.48045301235647236,1.959826083556873,0.050016121443686806,0.12920653530413187,ENSSSCG00000037305,TMEM33,False
ENSSSCG00000004164,3978.0574277534724,1.4699922741867966,0.7501196229916792,1.959677135660138,0.05003353923238123,0.12920653530413187,ENSSSCG00000004164,MTFR2,False
ENSSSCG00000015540,751.9655299648172,1.178613746259153,0.6014242467389671,1.959704406082418,0.05003034988162748,0.12920653530413187,ENSSSCG00000015540,MR1,False
ENSSSCG00000005399,24347.822986421248,1.1918010507880719,0.6082000792965339,1.9595542509079444,0.0500479130561501,0.12920653530413187,ENSSSCG00000005399,RNF20,False
ENSSSCG00000049847,2813.731214320115,1.2138028307875406,0.6194793921941546,1.9593917829749463,0.050066922236624206,0.12921738049002746,ENSSSCG00000049847,ENSSSCG00000049847,False
ENSSSCG00000018086,12923.904415964751,0.8158844734896876,0.41650180917085666,1.9588977899373228,0.05012475792044191,0.12932839669242344,ENSSSCG00000018086,ND4L,False
ENSSSCG00000007958,66.13126663559667,1.6169812501096843,0.8259668873101706,1.9576828986153638,0.05026723315475075,0.12965766376244606,ENSSSCG00000007958,ZNF174,False
ENSSSCG00000001010,93.82043150353152,2.0234997178593046,1.0338166769241495,1.9573099980159903,0.05031103274164467,0.12973229069255063,ENSSSCG00000001010,WRNIP1,False
ENSSSCG00000003377,1397.9456254138388,-2.1739527405901513,1.1108089698974528,-1.9570896522296224,0.050336928809683414,0.12974341157348046,ENSSSCG00000003377,ACOT7,False
ENSSSCG00000026392,338.60352635711456,1.3012652217000111,0.6649216807886013,1.9570202917081938,0.05034508269399551,0.12974341157348046,ENSSSCG00000026392,BSDC1,False
ENSSSCG00000000190,3597.211592069809,-1.3676587380734204,0.6989740028427879,-1.9566661027606658,0.05038673769917139,0.12981242195540876,ENSSSCG00000000190,TUBA1B,False
