factor,median_rho,ci_lo,ci_hi,n_boot,seed
F1,-0.38181818181818183,-0.5181818181818182,0.07272727272727274,5000,42
F3,-0.9,-0.9181818181818183,-0.8909090909090911,5000,42
F4,0.6363636363636364,0.4090909090909091,0.7727272727272727,5000,42
F6,0.7636363636363637,0.7181818181818183,0.790909090909091,5000,42
