dropped_stage,factor,full_rho,lo_rho,delta,n_stages
E0,F1,-0.4090909090909091,-0.23636363636363633,0.17272727272727278,10
E0,F3,-0.9,-0.9393939393939393,-0.039393939393939315,10
E0,F4,0.6363636363636364,0.6969696969696969,0.06060606060606055,10
E0,F6,0.7636363636363637,0.7575757575757575,-0.006060606060606211,10
E1,F1,-0.4090909090909091,-0.4666666666666666,-0.0575757575757575,10
E1,F3,-0.9,-0.9393939393939393,-0.039393939393939315,10
E1,F4,0.6363636363636364,0.6969696969696969,0.06060606060606055,10
E1,F6,0.7636363636363637,0.7575757575757575,-0.006060606060606211,10
E2,F1,-0.4090909090909091,-0.28484848484848485,0.12424242424242427,10
E2,F3,-0.9,-0.9393939393939393,-0.039393939393939315,10
E2,F4,0.6363636363636364,0.6242424242424242,-0.0121212121212122,10
E2,F6,0.7636363636363637,0.7454545454545454,-0.0181818181818183,10
E3,F1,-0.4090909090909091,-0.2606060606060606,0.1484848484848485,10
E3,F3,-0.9,-0.9393939393939393,-0.039393939393939315,10
E3,F4,0.6363636363636364,0.6242424242424242,-0.0121212121212122,10
E3,F6,0.7636363636363637,0.7454545454545454,-0.0181818181818183,10
E4,F1,-0.4090909090909091,-0.3696969696969697,0.039393939393939426,10
E4,F3,-0.9,-0.8666666666666665,0.03333333333333355,10
E4,F4,0.6363636363636364,0.6242424242424242,-0.0121212121212122,10
E4,F6,0.7636363636363637,0.6848484848484848,-0.07878787878787885,10
E5,F1,-0.4090909090909091,-0.41818181818181815,-0.009090909090909038,10
E5,F3,-0.9,-0.8666666666666665,0.03333333333333355,10
E5,F4,0.6363636363636364,0.6242424242424242,-0.0121212121212122,10
E5,F6,0.7636363636363637,0.6848484848484848,-0.07878787878787885,10
E6,F1,-0.4090909090909091,-0.41818181818181815,-0.009090909090909038,10
E6,F3,-0.9,-0.8787878787878788,0.021212121212121238,10
E6,F4,0.6363636363636364,0.6,-0.036363636363636376,10
E6,F6,0.7636363636363637,0.8060606060606059,0.04242424242424225,10
E7,F1,-0.4090909090909091,-0.406060606060606,0.0030303030303031053,10
E7,F3,-0.9,-0.8787878787878788,0.021212121212121238,10
E7,F4,0.6363636363636364,0.6,-0.036363636363636376,10
E7,F6,0.7636363636363637,0.8060606060606059,0.04242424242424225,10
E8,F1,-0.4090909090909091,-0.4424242424242424,-0.03333333333333327,10
E8,F3,-0.9,-0.8666666666666665,0.03333333333333355,10
E8,F4,0.6363636363636364,0.6,-0.036363636363636376,10
E8,F6,0.7636363636363637,0.7818181818181817,0.018181818181818077,10
E9,F1,-0.4090909090909091,-0.5757575757575757,-0.16666666666666657,10
E9,F3,-0.9,-0.8666666666666665,0.03333333333333355,10
E9,F4,0.6363636363636364,0.6242424242424242,-0.0121212121212122,10
E9,F6,0.7636363636363637,0.7818181818181817,0.018181818181818077,10
E10,F1,-0.4090909090909091,-0.5757575757575757,-0.16666666666666657,10
E10,F3,-0.9,-0.8666666666666665,0.03333333333333355,10
E10,F4,0.6363636363636364,0.6242424242424242,-0.0121212121212122,10
E10,F6,0.7636363636363637,0.7696969696969697,0.006060606060605989,10
