factor,KW_H,KW_nominal_p,KW_permutation_p
F1,23.605519480519476,9.581426425650316e-05,0.000999000999000999
F2,9.614245129870142,0.04745196359614382,0.03496503496503497
F3,2.0556006493506516,0.725533013635407,0.7572427572427572
F4,0.6943993506493626,0.952017795304365,0.961038961038961
F5,6.584212662337663,0.15956104025610954,0.15484515484515485
F6,3.754058441558442,0.4403123226912662,0.4565434565434565
F7,6.724025974025977,0.15121095836090953,0.15884115884115885
